census2010,title,soc2010,soc2010_title
8965,"Production workers, all other",51-9199,"Production Workers, All Other"
9000,Supervisors of transportation and material moving workers,53-1011,Aircraft Cargo Handling Supervisors
9000,Supervisors of transportation and material moving workers,53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
9000,Supervisors of transportation and material moving workers,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
9030,Aircraft pilots and flight engineers,53-2011,"Airline Pilots, Copilots, and Flight Engineers"
9030,Aircraft pilots and flight engineers,53-2012,Commercial Pilots
9040,Air traffic controllers and airfield operations specialists,53-2021,Air Traffic Controllers
9040,Air traffic controllers and airfield operations specialists,53-2022,Airfield Operations Specialists
9050,Flight attendants,53-2031,Flight Attendants
9110,"Ambulance drivers and attendants, except emergency medical technicians",53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
9120,Bus drivers,53-3021,"Bus Drivers, Transit and Intercity"
9120,Bus drivers,53-3022,"Bus Drivers, School or Special Client"
9130,Driver/sales workers and truck drivers,53-3031,Driver/Sales Workers
9130,Driver/sales workers and truck drivers,53-3032,Heavy and Tractor-Trailer Truck Drivers
9130,Driver/sales workers and truck drivers,53-3033,Light Truck or Delivery Services Drivers
9140,Taxi drivers and chauffeurs,53-3041,Taxi Drivers and Chauffeurs
9150,"Motor vehicle operators, all other",53-3099,"Motor Vehicle Operators, All Other"
9200,Locomotive engineers and operators,53-4011,Locomotive Engineers
9200,Locomotive engineers and operators,53-4012,Locomotive Firers
9200,Locomotive engineers and operators,53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
9230,"Railroad brake, signal, and switch operators",53-4021,"Railroad Brake, Signal, and Switch Operators"
9240,Railroad conductors and yardmasters,53-4031,Railroad Conductors and Yardmasters
9260,"Subway, streetcar, and other rail transportation workers",53-4041,Subway and Streetcar Operators
9260,"Subway, streetcar, and other rail transportation workers",53-4099,"Rail Transportation Workers, All Other"
9300,Sailors and marine oilers,53-5011,Sailors and Marine Oilers
9310,Ship and boat captains and operators,53-5021,"Captains, Mates, and Pilots of Water Vessels"
9310,Ship and boat captains and operators,53-5022,Motorboat Operators
9330,Ship engineers,53-5031,Ship Engineers
9340,Bridge and lock tenders,53-6011,Bridge and Lock Tenders
9350,Parking lot attendants,53-6021,Parking Lot Attendants
9360,Automotive and watercraft service attendants,53-6031,Automotive and Watercraft Service Attendants
9410,Transportation inspectors,53-6051,Transportation Inspectors
9415,"Transportation attendants, except flight attendants",53-6061,"Transportation Attendants, Except Flight Attendants"
9420,Other transportation workers,53-6041,Traffic Technicians
9420,Other transportation workers,53-6099,"Transportation Workers, All Other"
9500,Conveyor operators and tenders,53-7011,Conveyor Operators and Tenders
9510,Crane and tower operators,53-7021,Crane and Tower Operators
9520,"Dredge, excavating, and loading machine operators",53-7031,Dredge Operators
9520,"Dredge, excavating, and loading machine operators",53-7032,Excavating and Loading Machine and Dragline Operators
9520,"Dredge, excavating, and loading machine operators",53-7033,"Loading Machine Operators, Underground Mining"
9560,Hoist and winch operators,53-7041,Hoist and Winch Operators
9600,Industrial truck and tractor operators,53-7051,Industrial Truck and Tractor Operators
9610,Cleaners of vehicles and equipment,53-7061,Cleaners of Vehicles and Equipment
9620,"Laborers and freight, stock, and material movers, hand",53-7062,"Laborers and Freight, Stock, and Material Movers, Hand"
9630,Machine feeders and offbearers,53-7063,Machine Feeders and Offbearers
9640,"Packers and packagers, hand",53-7064,"Packers and Packagers, Hand"
9650,Pumping station operators,53-7071,Gas Compressor and Gas Pumping Station Operators
9650,Pumping station operators,53-7072,"Pump Operators, Except Wellhead Pumpers"
9650,Pumping station operators,53-7073,Wellhead Pumpers
9720,Refuse and recyclable material collectors,53-7081,Refuse and Recyclable Material Collectors
9730,Mine shuttle car operators,53-7111,Mine Shuttle Car Operators
9740,"Tank car, truck, and ship loaders",53-7121,"Tank Car, Truck, and Ship Loaders"
9750,"Material moving workers, all other",53-7199,"Material Moving Workers, All Other"
