soc1980,soc1980_title,soc2000,soc2000_title
7529,MISCELLANEOUS METALWORKING AND PLASTIC WORKING MAC,47-2061,Construction Laborers
7529,MISCELLANEOUS METALWORKING AND PLASTIC WORKING MAC,47-2211,Sheet Metal Workers
7529,MISCELLANEOUS METALWORKING AND PLASTIC WORKING MAC,51-2099,"Assemblers and Fabricators, All Other"
7529,MISCELLANEOUS METALWORKING AND PLASTIC WORKING MAC,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
7529,MISCELLANEOUS METALWORKING AND PLASTIC WORKING MAC,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
7529,MISCELLANEOUS METALWORKING AND PLASTIC WORKING MAC,51-4051,Metal-Refining Furnace Operators and Tenders
7529,MISCELLANEOUS METALWORKING AND PLASTIC WORKING MAC,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
7529,MISCELLANEOUS METALWORKING AND PLASTIC WORKING MAC,51-4199,"Metal Workers and Plastic Workers, All Other"
7529,MISCELLANEOUS METALWORKING AND PLASTIC WORKING MAC,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
7529,MISCELLANEOUS METALWORKING AND PLASTIC WORKING MAC,51-9022,"Grinding and Polishing Workers, Hand"
7529,MISCELLANEOUS METALWORKING AND PLASTIC WORKING MAC,51-9031,"Cutters and Trimmers, Hand"
7529,MISCELLANEOUS METALWORKING AND PLASTIC WORKING MAC,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
7529,MISCELLANEOUS METALWORKING AND PLASTIC WORKING MAC,51-9111,Packaging and Filling Machine Operators and Tenders
7529,MISCELLANEOUS METALWORKING AND PLASTIC WORKING MAC,51-9198,Helpers--Production Workers
7529,MISCELLANEOUS METALWORKING AND PLASTIC WORKING MAC,51-9199,"Production Workers, All Other"
7532,WELDING MACHINE OPERATORS AND TENDERS,51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic"
7532,WELDING MACHINE OPERATORS AND TENDERS,51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
7532,WELDING MACHINE OPERATORS AND TENDERS,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
7533,SOLDERING AND BRAZING MACHINE OPERATORS AND TENDER,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
7539,MISCELLANEOUS FABRICATING MACHINE OPERATORS AND TE,49-9099,"Installation, Maintenance, and Repair Workers, All Other"
7539,MISCELLANEOUS FABRICATING MACHINE OPERATORS AND TE,51-2099,"Assemblers and Fabricators, All Other"
7539,MISCELLANEOUS FABRICATING MACHINE OPERATORS AND TE,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
7539,MISCELLANEOUS FABRICATING MACHINE OPERATORS AND TE,51-4199,"Metal Workers and Plastic Workers, All Other"
7539,MISCELLANEOUS FABRICATING MACHINE OPERATORS AND TE,51-5023,Printing Machine Operators
7539,MISCELLANEOUS FABRICATING MACHINE OPERATORS AND TE,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders"
7539,MISCELLANEOUS FABRICATING MACHINE OPERATORS AND TE,51-9199,"Production Workers, All Other"
7542,MOLDING AND CASTING MACHINE OPERATORS AND TENDERS,51-4051,Metal-Refining Furnace Operators and Tenders
7542,MOLDING AND CASTING MACHINE OPERATORS AND TENDERS,51-4052,"Pourers and Casters, Metal"
7542,MOLDING AND CASTING MACHINE OPERATORS AND TENDERS,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
7542,MOLDING AND CASTING MACHINE OPERATORS AND TENDERS,51-4199,"Metal Workers and Plastic Workers, All Other"
7542,MOLDING AND CASTING MACHINE OPERATORS AND TENDERS,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
7542,MOLDING AND CASTING MACHINE OPERATORS AND TENDERS,51-9071,Jewelers and Precious Stone and Metal Workers
7542,MOLDING AND CASTING MACHINE OPERATORS AND TENDERS,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic"
7543,PLATING AND COATING MACHINE OPERATORS AND TENDERS,51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
7543,PLATING AND COATING MACHINE OPERATORS AND TENDERS,51-9123,"Painting, Coating, and Decorating Workers"
7544,HEATING EQUIPMENT OPERATORS AND TENDERS,51-4051,Metal-Refining Furnace Operators and Tenders
7544,HEATING EQUIPMENT OPERATORS AND TENDERS,51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
7544,HEATING EQUIPMENT OPERATORS AND TENDERS,53-7199,"Material Moving Workers, All Other"
7549,MISCELLANEOUS METAL AND PLASTIC PROCESSING MACHINE,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
7549,MISCELLANEOUS METAL AND PLASTIC PROCESSING MACHINE,51-4052,"Pourers and Casters, Metal"
7549,MISCELLANEOUS METAL AND PLASTIC PROCESSING MACHINE,51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
7549,MISCELLANEOUS METAL AND PLASTIC PROCESSING MACHINE,51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
7549,MISCELLANEOUS METAL AND PLASTIC PROCESSING MACHINE,51-4199,"Metal Workers and Plastic Workers, All Other"
7549,MISCELLANEOUS METAL AND PLASTIC PROCESSING MACHINE,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
7549,MISCELLANEOUS METAL AND PLASTIC PROCESSING MACHINE,51-9199,"Production Workers, All Other"
7631,LATHE AND TURNING MACHINE OPERATORS AND TENDERS,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
7632,ROUTER AND PLANER MACHINE OPERATORS AND TENDERS,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
7633,SAWING MACHINE OPERATORS AND TENDERS,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood"
7634,SANDING MACHINE OPERATORS AND TENDERS,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
7635,SHAPING AND JOINING MACHINE OPERATORS AND TENDERS,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
7635,SHAPING AND JOINING MACHINE OPERATORS AND TENDERS,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
7636,"NAILING AND TACKING MACHINE OPERATORS AND TENDERS",51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
7639,MISCELLANEOUS WOODWORKING MACHINE OPERATORS AND TE,45-4029,"Logging Workers, All Other"
7639,MISCELLANEOUS WOODWORKING MACHINE OPERATORS AND TE,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders
7639,MISCELLANEOUS WOODWORKING MACHINE OPERATORS AND TE,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
7639,MISCELLANEOUS WOODWORKING MACHINE OPERATORS AND TE,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
7639,MISCELLANEOUS WOODWORKING MACHINE OPERATORS AND TE,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders"
7639,MISCELLANEOUS WOODWORKING MACHINE OPERATORS AND TE,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders"
7639,MISCELLANEOUS WOODWORKING MACHINE OPERATORS AND TE,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
7639,MISCELLANEOUS WOODWORKING MACHINE OPERATORS AND TE,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
7639,MISCELLANEOUS WOODWORKING MACHINE OPERATORS AND TE,51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
7639,MISCELLANEOUS WOODWORKING MACHINE OPERATORS AND TE,51-9123,"Painting, Coating, and Decorating Workers"
7639,MISCELLANEOUS WOODWORKING MACHINE OPERATORS AND TE,51-9191,Cementing and Gluing Machine Operators and Tenders
7639,MISCELLANEOUS WOODWORKING MACHINE OPERATORS AND TE,51-9199,"Production Workers, All Other"
7639,MISCELLANEOUS WOODWORKING MACHINE OPERATORS AND TE,53-7011,Conveyor Operators and Tenders
7642,TYPESETTING AND COMPOSING MACHINE OPERATORS AND TE,51-5022,Prepress Technicians and Workers
7643,PRINTING MACHINE OPERATORS AND TENDERS,51-5023,Printing Machine Operators
7643,PRINTING MACHINE OPERATORS AND TENDERS,51-9199,"Production Workers, All Other"
7644,PHOTOENGRAVING AND LITHOGRAPHING MACHINE OPERATORS,51-5022,Prepress Technicians and Workers
7644,PHOTOENGRAVING AND LITHOGRAPHING MACHINE OPERATORS,51-9199,"Production Workers, All Other"
7649,"PRINTING MACHINE OPERATORS AND TENDERS, NOT ELSEWH",51-5011,Bindery Workers
7649,"PRINTING MACHINE OPERATORS AND TENDERS, NOT ELSEWH",51-9199,"Production Workers, All Other"
7651,WINDING AND TWISTING MACHINE OPERATORS AND TENDERS,51-6062,"Textile Cutting Machine Setters, Operators, and Tenders"
7651,WINDING AND TWISTING MACHINE OPERATORS AND TENDERS,51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
7651,WINDING AND TWISTING MACHINE OPERATORS AND TENDERS,51-6099,"Textile, Apparel, and Furnishings Workers, All Other"
7651,WINDING AND TWISTING MACHINE OPERATORS AND TENDERS,51-9197,Tire Builders
7651,WINDING AND TWISTING MACHINE OPERATORS AND TENDERS,51-9199,"Production Workers, All Other"
7652,KNITTING AND WEAVING MACHINE OPERATORS AND TENDERS,51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
7652,KNITTING AND WEAVING MACHINE OPERATORS AND TENDERS,51-6099,"Textile, Apparel, and Furnishings Workers, All Other"
7654,TEXTILE CUTTING MACHINE OPERATORS AND TENDERS,51-6062,"Textile Cutting Machine Setters, Operators, and Tenders"
7654,TEXTILE CUTTING MACHINE OPERATORS AND TENDERS,51-6093,Upholsterers
7654,TEXTILE CUTTING MACHINE OPERATORS AND TENDERS,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders"
7654,TEXTILE CUTTING MACHINE OPERATORS AND TENDERS,51-9199,"Production Workers, All Other"
7655,TEXTILE SEWING MACHINE OPERATORS AND TENDERS,51-6031,Sewing Machine Operators
7656,SHOE MACHINE OPERATORS AND TENDERS,51-6042,Shoe Machine Operators and Tenders
7656,SHOE MACHINE OPERATORS AND TENDERS,51-9199,"Production Workers, All Other"
7657,PRESSING MACHINE OPERATORS,51-6021,"Pressers, Textile, Garment, and Related Materials"
7658,LAUNDERING AND DRY CLEANING MACHINE OPERATORS AND,51-6011,Laundry and Dry-Cleaning Workers
7658,LAUNDERING AND DRY CLEANING MACHINE OPERATORS AND,51-6021,"Pressers, Textile, Garment, and Related Materials"
7658,LAUNDERING AND DRY CLEANING MACHINE OPERATORS AND,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
7659,MISCELLANEOUS TEXTILE MACHINE OPERATORS AND TENDER,19-4031,Chemical Technicians
7659,MISCELLANEOUS TEXTILE MACHINE OPERATORS AND TENDER,51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
7659,MISCELLANEOUS TEXTILE MACHINE OPERATORS AND TENDER,51-6021,"Pressers, Textile, Garment, and Related Materials"
7659,MISCELLANEOUS TEXTILE MACHINE OPERATORS AND TENDER,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders
7659,MISCELLANEOUS TEXTILE MACHINE OPERATORS AND TENDER,51-6062,"Textile Cutting Machine Setters, Operators, and Tenders"
7659,MISCELLANEOUS TEXTILE MACHINE OPERATORS AND TENDER,51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
7659,MISCELLANEOUS TEXTILE MACHINE OPERATORS AND TENDER,51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
7659,MISCELLANEOUS TEXTILE MACHINE OPERATORS AND TENDER,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
7659,MISCELLANEOUS TEXTILE MACHINE OPERATORS AND TENDER,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders"
7659,MISCELLANEOUS TEXTILE MACHINE OPERATORS AND TENDER,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders"
7659,MISCELLANEOUS TEXTILE MACHINE OPERATORS AND TENDER,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
7659,MISCELLANEOUS TEXTILE MACHINE OPERATORS AND TENDER,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
7659,MISCELLANEOUS TEXTILE MACHINE OPERATORS AND TENDER,51-9111,Packaging and Filling Machine Operators and Tenders
7659,MISCELLANEOUS TEXTILE MACHINE OPERATORS AND TENDER,51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
7659,MISCELLANEOUS TEXTILE MACHINE OPERATORS AND TENDER,51-9191,Cementing and Gluing Machine Operators and Tenders
7659,MISCELLANEOUS TEXTILE MACHINE OPERATORS AND TENDER,51-9198,Helpers--Production Workers
7659,MISCELLANEOUS TEXTILE MACHINE OPERATORS AND TENDER,51-9199,"Production Workers, All Other"
7659,MISCELLANEOUS TEXTILE MACHINE OPERATORS AND TENDER,53-7063,Machine Feeders and Offbearers
7661,CEMENTING AND GLUING MACHINE OPERATORS AND TENDERS,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
7661,CEMENTING AND GLUING MACHINE OPERATORS AND TENDERS,51-9191,Cementing and Gluing Machine Operators and Tenders
7662,PACKAGING AND FILLING MACHINE OPERATORS AND TENDER,51-9111,Packaging and Filling Machine Operators and Tenders
7662,PACKAGING AND FILLING MACHINE OPERATORS AND TENDER,51-9191,Cementing and Gluing Machine Operators and Tenders
7663,EXTRUDING AND FORMING MACHINE OPERATORS AND TENDER,51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
7663,EXTRUDING AND FORMING MACHINE OPERATORS AND TENDER,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
7663,EXTRUDING AND FORMING MACHINE OPERATORS AND TENDER,51-9111,Packaging and Filling Machine Operators and Tenders
7663,EXTRUDING AND FORMING MACHINE OPERATORS AND TENDER,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic"
7663,EXTRUDING AND FORMING MACHINE OPERATORS AND TENDER,51-9199,"Production Workers, All Other"
7664,MIXING AND BLENDING MACHINE OPERATORS AND TENDERS,51-3093,Food Cooking Machine Operators and Tenders
7664,MIXING AND BLENDING MACHINE OPERATORS AND TENDERS,51-9011,Chemical Equipment Operators and Tenders
7664,MIXING AND BLENDING MACHINE OPERATORS AND TENDERS,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
7664,MIXING AND BLENDING MACHINE OPERATORS AND TENDERS,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
7664,MIXING AND BLENDING MACHINE OPERATORS AND TENDERS,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders"
7664,MIXING AND BLENDING MACHINE OPERATORS AND TENDERS,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders"
7664,MIXING AND BLENDING MACHINE OPERATORS AND TENDERS,51-9199,"Production Workers, All Other"
7664,MIXING AND BLENDING MACHINE OPERATORS AND TENDERS,53-7072,"Pump Operators, Except Wellhead Pumpers"
7665,COOLING AND FREEZING EQUIPMENT OPERATORS AND TENDE,51-9193,Cooling and Freezing Equipment Operators and Tenders
7665,COOLING AND FREEZING EQUIPMENT OPERATORS AND TENDE,51-9199,"Production Workers, All Other"
7666,SEPARATING AND FILTERING MACHINE OPERATORS AND TEN,51-9011,Chemical Equipment Operators and Tenders
7666,SEPARATING AND FILTERING MACHINE OPERATORS AND TEN,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
7666,SEPARATING AND FILTERING MACHINE OPERATORS AND TEN,51-9199,"Production Workers, All Other"
7666,SEPARATING AND FILTERING MACHINE OPERATORS AND TEN,53-7072,"Pump Operators, Except Wellhead Pumpers"
7667,COMPRESSING AND COMPACTING MACHINE OPERATORS AND T,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
7667,COMPRESSING AND COMPACTING MACHINE OPERATORS AND T,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
7667,COMPRESSING AND COMPACTING MACHINE OPERATORS AND T,51-9111,Packaging and Filling Machine Operators and Tenders
7667,COMPRESSING AND COMPACTING MACHINE OPERATORS AND T,51-9199,"Production Workers, All Other"
7667,COMPRESSING AND COMPACTING MACHINE OPERATORS AND T,53-7063,Machine Feeders and Offbearers
7668,BOILER OPERATORS AND TENDERS (LOW PRESSURE),51-8021,Stationary Engineers and Boiler Operators
7669,"COATING, PAINTING, AND SPRAYING MACHINE OPERATORS",51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
7669,"COATING, PAINTING, AND SPRAYING MACHINE OPERATORS",51-9122,"Painters, Transportation Equipment"
7669,"COATING, PAINTING, AND SPRAYING MACHINE OPERATORS",51-9123,"Painting, Coating, and Decorating Workers"
7669,"COATING, PAINTING, AND SPRAYING MACHINE OPERATORS",51-9193,Cooling and Freezing Equipment Operators and Tenders
7669,"COATING, PAINTING, AND SPRAYING MACHINE OPERATORS",51-9199,"Production Workers, All Other"
7671,PHOTOGRAPHIC PROCESSING MACHINE OPERATORS,27-4031,"Camera Operators, Television, Video, and Motion Picture"
7671,PHOTOGRAPHIC PROCESSING MACHINE OPERATORS,43-9199,"Office and Administrative Support Workers, All Other"
7671,PHOTOGRAPHIC PROCESSING MACHINE OPERATORS,51-5022,Prepress Technicians and Workers
7671,PHOTOGRAPHIC PROCESSING MACHINE OPERATORS,51-9132,Photographic Processing Machine Operators
7672,ROASTING AND BAKING MACHINE OPERATORS AND TENDERS,51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
7672,ROASTING AND BAKING MACHINE OPERATORS AND TENDERS,51-3093,Food Cooking Machine Operators and Tenders
7673,"WASHING, CLEANING AND PICKLING EQUIPMENT OPERATORS",51-9011,Chemical Equipment Operators and Tenders
7673,"WASHING, CLEANING AND PICKLING EQUIPMENT OPERATORS",51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
7673,"WASHING, CLEANING AND PICKLING EQUIPMENT OPERATORS",51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders"
7673,"WASHING, CLEANING AND PICKLING EQUIPMENT OPERATORS",51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
7674,FOLDING MACHINE OPERATORS AND TENDERS,51-9199,"Production Workers, All Other"
7675,"FURNACE, KILN, AND OVEN OPERATORS AND TENDERS",51-4051,Metal-Refining Furnace Operators and Tenders
7675,"FURNACE, KILN, AND OVEN OPERATORS AND TENDERS",51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
7675,"FURNACE, KILN, AND OVEN OPERATORS AND TENDERS",51-9011,Chemical Equipment Operators and Tenders
7675,"FURNACE, KILN, AND OVEN OPERATORS AND TENDERS",51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
7675,"FURNACE, KILN, AND OVEN OPERATORS AND TENDERS",51-9141,Semiconductor Processors
7675,"FURNACE, KILN, AND OVEN OPERATORS AND TENDERS",51-9199,"Production Workers, All Other"
7675,"FURNACE, KILN, AND OVEN OPERATORS AND TENDERS",53-7063,Machine Feeders and Offbearers
7676,"STILL, CLARIFIER AND PRECIPITATOR OPERATORS AND TE",51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
7676,"STILL, CLARIFIER AND PRECIPITATOR OPERATORS AND TE",51-9011,Chemical Equipment Operators and Tenders
7676,"STILL, CLARIFIER AND PRECIPITATOR OPERATORS AND TE",51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
7676,"STILL, CLARIFIER AND PRECIPITATOR OPERATORS AND TE",51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders"
7676,"STILL, CLARIFIER AND PRECIPITATOR OPERATORS AND TE",51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
7676,"STILL, CLARIFIER AND PRECIPITATOR OPERATORS AND TE",51-9199,"Production Workers, All Other"
7676,"STILL, CLARIFIER AND PRECIPITATOR OPERATORS AND TE",53-7072,"Pump Operators, Except Wellhead Pumpers"
7677,"CRUSHING, GRINDING AND POLISHING MACHINE OPERATORS",49-9041,Industrial Machinery Mechanics
7677,"CRUSHING, GRINDING AND POLISHING MACHINE OPERATORS",51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
7677,"CRUSHING, GRINDING AND POLISHING MACHINE OPERATORS",51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
7677,"CRUSHING, GRINDING AND POLISHING MACHINE OPERATORS",51-9022,"Grinding and Polishing Workers, Hand"
7677,"CRUSHING, GRINDING AND POLISHING MACHINE OPERATORS",51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders"
7677,"CRUSHING, GRINDING AND POLISHING MACHINE OPERATORS",51-9141,Semiconductor Processors
7677,"CRUSHING, GRINDING AND POLISHING MACHINE OPERATORS",51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic"
7677,"CRUSHING, GRINDING AND POLISHING MACHINE OPERATORS",51-9199,"Production Workers, All Other"
7678,SLICING AND CUTTING MACHINE OPERATORS AND TENDERS,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
7678,SLICING AND CUTTING MACHINE OPERATORS AND TENDERS,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders"
7678,SLICING AND CUTTING MACHINE OPERATORS AND TENDERS,51-9141,Semiconductor Processors
7678,SLICING AND CUTTING MACHINE OPERATORS AND TENDERS,51-9198,Helpers--Production Workers
7678,SLICING AND CUTTING MACHINE OPERATORS AND TENDERS,51-9199,"Production Workers, All Other"
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",51-2021,"Coil Winders, Tapers, and Finishers"
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",51-3093,Food Cooking Machine Operators and Tenders
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",51-5011,Bindery Workers
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",51-6031,Sewing Machine Operators
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",51-8021,Stationary Engineers and Boiler Operators
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",51-8099,"Plant and System Operators, All Other"
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",51-9011,Chemical Equipment Operators and Tenders
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders"
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",51-9031,"Cutters and Trimmers, Hand"
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders"
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",51-9111,Packaging and Filling Machine Operators and Tenders
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",51-9141,Semiconductor Processors
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",51-9193,Cooling and Freezing Equipment Operators and Tenders
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic"
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",51-9197,Tire Builders
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",51-9198,Helpers--Production Workers
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",51-9199,"Production Workers, All Other"
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",53-7011,Conveyor Operators and Tenders
7679,"MISC MACHINE OPERATORS AND TENDERS, NEC",53-7072,"Pump Operators, Except Wellhead Pumpers"
7714,WELDERS AND CUTTERS,51-4121,"Welders, Cutters, Solderers, and Brazers"
7714,WELDERS AND CUTTERS,51-9199,"Production Workers, All Other"
7717,SOLDERERS AND BRAZERS,51-4121,"Welders, Cutters, Solderers, and Brazers"
772,ASSEMBLERS,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
772,ASSEMBLERS,47-2031,Carpenters
772,ASSEMBLERS,47-2111,Electricians
772,ASSEMBLERS,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
772,ASSEMBLERS,49-9042,"Maintenance and Repair Workers, General"
772,ASSEMBLERS,49-9045,"Refractory Materials Repairers, Except Brickmasons"
772,ASSEMBLERS,49-9095,Manufactured Building and Mobile Home Installers
772,ASSEMBLERS,51-2021,"Coil Winders, Tapers, and Finishers"
772,ASSEMBLERS,51-2022,Electrical and Electronic Equipment Assemblers
772,ASSEMBLERS,51-2023,Electromechanical Equipment Assemblers
772,ASSEMBLERS,51-2031,Engine and Other Machine Assemblers
772,ASSEMBLERS,51-2091,Fiberglass Laminators and Fabricators
772,ASSEMBLERS,51-2092,Team Assemblers
772,ASSEMBLERS,51-2099,"Assemblers and Fabricators, All Other"
772,ASSEMBLERS,51-6021,"Pressers, Textile, Garment, and Related Materials"
772,ASSEMBLERS,51-9022,"Grinding and Polishing Workers, Hand"
772,ASSEMBLERS,51-9031,"Cutters and Trimmers, Hand"
772,ASSEMBLERS,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
772,ASSEMBLERS,51-9141,Semiconductor Processors
772,ASSEMBLERS,51-9194,Etchers and Engravers
772,ASSEMBLERS,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic"
772,ASSEMBLERS,51-9198,Helpers--Production Workers
772,ASSEMBLERS,51-9199,"Production Workers, All Other"
774,"FABRICATORS, NOT ELSEWHERE CLASSIFIED",49-9043,"Maintenance Workers, Machinery"
774,"FABRICATORS, NOT ELSEWHERE CLASSIFIED",51-2022,Electrical and Electronic Equipment Assemblers
774,"FABRICATORS, NOT ELSEWHERE CLASSIFIED",51-3022,"Meat, Poultry, and Fish Cutters and Trimmers"
774,"FABRICATORS, NOT ELSEWHERE CLASSIFIED",51-4199,"Metal Workers and Plastic Workers, All Other"
774,"FABRICATORS, NOT ELSEWHERE CLASSIFIED",51-9031,"Cutters and Trimmers, Hand"
