code,title,Level,Hierarchical_structure,parent,soc2d,soc3d,soc5d,soc6d
19-4021,Biological Technicians,6,Detailed Occupation,19-4020,19-0000,19-4000,19-4020,19-4021
19-4030,Chemical Technicians,5,Broad Occupation,19-4000,19-0000,19-4000,19-4030,NA
19-4031,Chemical Technicians,6,Detailed Occupation,19-4030,19-0000,19-4000,19-4030,19-4031
19-4040,Geological and Petroleum Technicians,5,Broad Occupation,19-4000,19-0000,19-4000,19-4040,NA
19-4041,Geological and Petroleum Technicians,6,Detailed Occupation,19-4040,19-0000,19-4000,19-4040,19-4041
19-4050,Nuclear Technicians,5,Broad Occupation,19-4000,19-0000,19-4000,19-4050,NA
19-4051,Nuclear Technicians,6,Detailed Occupation,19-4050,19-0000,19-4000,19-4050,19-4051
19-4060,Social Science Research Assistants,5,Broad Occupation,19-4000,19-0000,19-4000,19-4060,NA
19-4061,Social Science Research Assistants,6,Detailed Occupation,19-4060,19-0000,19-4000,19-4060,19-4061
19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",5,Broad Occupation,19-4000,19-0000,19-4000,19-4090,NA
19-4091,"Environmental Science and Protection Technicians, Including Health",6,Detailed Occupation,19-4090,19-0000,19-4000,19-4090,19-4091
19-4092,Forensic Science Technicians,6,Detailed Occupation,19-4090,19-0000,19-4000,19-4090,19-4092
19-4093,Forest and Conservation Technicians,6,Detailed Occupation,19-4090,19-0000,19-4000,19-4090,19-4093
19-4099,"Life, Physical, and Social Science Technicians, All Other",6,Detailed Occupation,19-4090,19-0000,19-4000,19-4090,19-4099
21-0000,Community and Social Services Occupations,2,Major Group,NA,21-0000,NA,NA,NA
21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",3,Minor Group,21-0000,21-0000,21-1000,NA,NA
21-1010,Counselors,5,Broad Occupation,21-1000,21-0000,21-1000,21-1010,NA
21-1011,Substance Abuse and Behavioral Disorder Counselors,6,Detailed Occupation,21-1010,21-0000,21-1000,21-1010,21-1011
21-1012,"Educational, Vocational, and School Counselors",6,Detailed Occupation,21-1010,21-0000,21-1000,21-1010,21-1012
21-1013,Marriage and Family Therapists,6,Detailed Occupation,21-1010,21-0000,21-1000,21-1010,21-1013
21-1014,Mental Health Counselors,6,Detailed Occupation,21-1010,21-0000,21-1000,21-1010,21-1014
21-1015,Rehabilitation Counselors,6,Detailed Occupation,21-1010,21-0000,21-1000,21-1010,21-1015
21-1019,"Counselors, All Other",6,Detailed Occupation,21-1010,21-0000,21-1000,21-1010,21-1019
21-1020,Social Workers,5,Broad Occupation,21-1000,21-0000,21-1000,21-1020,NA
21-1021,"Child, Family, and School Social Workers",6,Detailed Occupation,21-1020,21-0000,21-1000,21-1020,21-1021
21-1022,Medical and Public Health Social Workers,6,Detailed Occupation,21-1020,21-0000,21-1000,21-1020,21-1022
21-1023,Mental Health and Substance Abuse Social Workers,6,Detailed Occupation,21-1020,21-0000,21-1000,21-1020,21-1023
21-1029,"Social Workers, All Other",6,Detailed Occupation,21-1020,21-0000,21-1000,21-1020,21-1029
21-1090,Miscellaneous Community and Social Service Specialists,5,Broad Occupation,21-1000,21-0000,21-1000,21-1090,NA
21-1091,Health Educators,6,Detailed Occupation,21-1090,21-0000,21-1000,21-1090,21-1091
21-1092,Probation Officers and Correctional Treatment Specialists,6,Detailed Occupation,21-1090,21-0000,21-1000,21-1090,21-1092
21-1093,Social and Human Service Assistants,6,Detailed Occupation,21-1090,21-0000,21-1000,21-1090,21-1093
21-1099,"Community and Social Service Specialists, All Other",6,Detailed Occupation,21-1090,21-0000,21-1000,21-1090,21-1099
21-2000,Religious Workers,3,Minor Group,21-0000,21-0000,21-2000,NA,NA
21-2010,Clergy,5,Broad Occupation,21-2000,21-0000,21-2000,21-2010,NA
21-2011,Clergy,6,Detailed Occupation,21-2010,21-0000,21-2000,21-2010,21-2011
21-2020,"Directors, Religious Activities and Education",5,Broad Occupation,21-2000,21-0000,21-2000,21-2020,NA
21-2021,"Directors, Religious Activities and Education",6,Detailed Occupation,21-2020,21-0000,21-2000,21-2020,21-2021
21-2090,Miscellaneous Religious Workers,5,Broad Occupation,21-2000,21-0000,21-2000,21-2090,NA
21-2099,"Religious Workers, All Other",6,Detailed Occupation,21-2090,21-0000,21-2000,21-2090,21-2099
23-0000,Legal Occupations,2,Major Group,NA,23-0000,NA,NA,NA
23-1000,"Lawyers, Judges, and Related Workers",3,Minor Group,23-0000,23-0000,23-1000,NA,NA
23-1010,Lawyers,5,Broad Occupation,23-1000,23-0000,23-1000,23-1010,NA
23-1011,Lawyers,6,Detailed Occupation,23-1010,23-0000,23-1000,23-1010,23-1011
23-1020,"Judges, Magistrates, and Other Judicial Workers",5,Broad Occupation,23-1000,23-0000,23-1000,23-1020,NA
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",6,Detailed Occupation,23-1020,23-0000,23-1000,23-1020,23-1021
23-1022,"Arbitrators, Mediators, and Conciliators",6,Detailed Occupation,23-1020,23-0000,23-1000,23-1020,23-1022
23-1023,"Judges, Magistrate Judges, and Magistrates",6,Detailed Occupation,23-1020,23-0000,23-1000,23-1020,23-1023
23-2000,Legal Support Workers,3,Minor Group,23-0000,23-0000,23-2000,NA,NA
23-2010,Paralegals and Legal Assistants,5,Broad Occupation,23-2000,23-0000,23-2000,23-2010,NA
23-2011,Paralegals and Legal Assistants,6,Detailed Occupation,23-2010,23-0000,23-2000,23-2010,23-2011
23-2090,Miscellaneous Legal Support Workers,5,Broad Occupation,23-2000,23-0000,23-2000,23-2090,NA
23-2091,Court Reporters,6,Detailed Occupation,23-2090,23-0000,23-2000,23-2090,23-2091
23-2092,Law Clerks,6,Detailed Occupation,23-2090,23-0000,23-2000,23-2090,23-2092
23-2093,"Title Examiners, Abstractors, and Searchers",6,Detailed Occupation,23-2090,23-0000,23-2000,23-2090,23-2093
23-2099,"Legal Support Workers, All Other",6,Detailed Occupation,23-2090,23-0000,23-2000,23-2090,23-2099
25-0000,"Education, Training, and Library Occupations",2,Major Group,NA,25-0000,NA,NA,NA
25-1000,Postsecondary Teachers,3,Minor Group,25-0000,25-0000,25-1000,NA,NA
25-1010,"Business Teachers, Postsecondary",5,Broad Occupation,25-1000,25-0000,25-1000,25-1010,NA
25-1011,"Business Teachers, Postsecondary",6,Detailed Occupation,25-1010,25-0000,25-1000,25-1010,25-1011
25-1020,"Math and Computer Teachers, Postsecondary",5,Broad Occupation,25-1000,25-0000,25-1000,25-1020,NA
25-1021,"Computer Science Teachers, Postsecondary",6,Detailed Occupation,25-1020,25-0000,25-1000,25-1020,25-1021
25-1022,"Mathematical Science Teachers, Postsecondary",6,Detailed Occupation,25-1020,25-0000,25-1000,25-1020,25-1022
25-1030,"Engineering and Architecture Teachers, Postsecondary",5,Broad Occupation,25-1000,25-0000,25-1000,25-1030,NA
25-1031,"Architecture Teachers, Postsecondary",6,Detailed Occupation,25-1030,25-0000,25-1000,25-1030,25-1031
25-1032,"Engineering Teachers, Postsecondary",6,Detailed Occupation,25-1030,25-0000,25-1000,25-1030,25-1032
25-1040,"Life Sciences Teachers, Postsecondary",5,Broad Occupation,25-1000,25-0000,25-1000,25-1040,NA
25-1041,"Agricultural Sciences Teachers, Postsecondary",6,Detailed Occupation,25-1040,25-0000,25-1000,25-1040,25-1041
25-1042,"Biological Science Teachers, Postsecondary",6,Detailed Occupation,25-1040,25-0000,25-1000,25-1040,25-1042
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",6,Detailed Occupation,25-1040,25-0000,25-1000,25-1040,25-1043
25-1050,"Physical Sciences Teachers, Postsecondary",5,Broad Occupation,25-1000,25-0000,25-1000,25-1050,NA
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",6,Detailed Occupation,25-1050,25-0000,25-1000,25-1050,25-1051
25-1052,"Chemistry Teachers, Postsecondary",6,Detailed Occupation,25-1050,25-0000,25-1000,25-1050,25-1052
25-1053,"Environmental Science Teachers, Postsecondary",6,Detailed Occupation,25-1050,25-0000,25-1000,25-1050,25-1053
25-1054,"Physics Teachers, Postsecondary",6,Detailed Occupation,25-1050,25-0000,25-1000,25-1050,25-1054
25-1060,"Social Sciences Teachers, Postsecondary",5,Broad Occupation,25-1000,25-0000,25-1000,25-1060,NA
25-1061,"Anthropology and Archeology Teachers, Postsecondary",6,Detailed Occupation,25-1060,25-0000,25-1000,25-1060,25-1061
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",6,Detailed Occupation,25-1060,25-0000,25-1000,25-1060,25-1062
25-1063,"Economics Teachers, Postsecondary",6,Detailed Occupation,25-1060,25-0000,25-1000,25-1060,25-1063
25-1064,"Geography Teachers, Postsecondary",6,Detailed Occupation,25-1060,25-0000,25-1000,25-1060,25-1064
25-1065,"Political Science Teachers, Postsecondary",6,Detailed Occupation,25-1060,25-0000,25-1000,25-1060,25-1065
25-1066,"Psychology Teachers, Postsecondary",6,Detailed Occupation,25-1060,25-0000,25-1000,25-1060,25-1066
25-1067,"Sociology Teachers, Postsecondary",6,Detailed Occupation,25-1060,25-0000,25-1000,25-1060,25-1067
25-1069,"Social Sciences Teachers, Postsecondary, All Other",6,Detailed Occupation,25-1060,25-0000,25-1000,25-1060,25-1069
25-1070,"Health Teachers, Postsecondary",5,Broad Occupation,25-1000,25-0000,25-1000,25-1070,NA
25-1071,"Health Specialties Teachers, Postsecondary",6,Detailed Occupation,25-1070,25-0000,25-1000,25-1070,25-1071
25-1072,"Nursing Instructors and Teachers, Postsecondary",6,Detailed Occupation,25-1070,25-0000,25-1000,25-1070,25-1072
25-1080,"Education and Library Science Teachers, Postsecondary",5,Broad Occupation,25-1000,25-0000,25-1000,25-1080,NA
25-1081,"Education Teachers, Postsecondary",6,Detailed Occupation,25-1080,25-0000,25-1000,25-1080,25-1081
25-1082,"Library Science Teachers, Postsecondary",6,Detailed Occupation,25-1080,25-0000,25-1000,25-1080,25-1082
25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",5,Broad Occupation,25-1000,25-0000,25-1000,25-1110,NA
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",6,Detailed Occupation,25-1110,25-0000,25-1000,25-1110,25-1111
25-1112,"Law Teachers, Postsecondary",6,Detailed Occupation,25-1110,25-0000,25-1000,25-1110,25-1112
25-1113,"Social Work Teachers, Postsecondary",6,Detailed Occupation,25-1110,25-0000,25-1000,25-1110,25-1113
25-1120,"Arts, Communications, and Humanities Teachers, Postsecondary",5,Broad Occupation,25-1000,25-0000,25-1000,25-1120,NA
25-1121,"Art, Drama, and Music Teachers, Postsecondary",6,Detailed Occupation,25-1120,25-0000,25-1000,25-1120,25-1121
25-1122,"Communications Teachers, Postsecondary",6,Detailed Occupation,25-1120,25-0000,25-1000,25-1120,25-1122
25-1123,"English Language and Literature Teachers, Postsecondary",6,Detailed Occupation,25-1120,25-0000,25-1000,25-1120,25-1123
25-1124,"Foreign Language and Literature Teachers, Postsecondary",6,Detailed Occupation,25-1120,25-0000,25-1000,25-1120,25-1124
25-1125,"History Teachers, Postsecondary",6,Detailed Occupation,25-1120,25-0000,25-1000,25-1120,25-1125
25-1126,"Philosophy and Religion Teachers, Postsecondary",6,Detailed Occupation,25-1120,25-0000,25-1000,25-1120,25-1126
25-1190,Miscellaneous Postsecondary Teachers,5,Broad Occupation,25-1000,25-0000,25-1000,25-1190,NA
25-1191,Graduate Teaching Assistants,6,Detailed Occupation,25-1190,25-0000,25-1000,25-1190,25-1191
25-1192,"Home Economics Teachers, Postsecondary",6,Detailed Occupation,25-1190,25-0000,25-1000,25-1190,25-1192
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",6,Detailed Occupation,25-1190,25-0000,25-1000,25-1190,25-1193
25-1194,"Vocational Education Teachers, Postsecondary",6,Detailed Occupation,25-1190,25-0000,25-1000,25-1190,25-1194
25-1199,"Postsecondary Teachers, All Other",6,Detailed Occupation,25-1190,25-0000,25-1000,25-1190,25-1199
25-2000,"Primary, Secondary, and Special Education School Teachers",3,Minor Group,25-0000,25-0000,25-2000,NA,NA
25-2010,Preschool and Kindergarten Teachers,5,Broad Occupation,25-2000,25-0000,25-2000,25-2010,NA
25-2011,"Preschool Teachers, Except Special Education",6,Detailed Occupation,25-2010,25-0000,25-2000,25-2010,25-2011
25-2012,"Kindergarten Teachers, Except Special Education",6,Detailed Occupation,25-2010,25-0000,25-2000,25-2010,25-2012
25-2020,Elementary and Middle School Teachers,5,Broad Occupation,25-2000,25-0000,25-2000,25-2020,NA
25-2021,"Elementary School Teachers, Except Special Education",6,Detailed Occupation,25-2020,25-0000,25-2000,25-2020,25-2021
25-2022,"Middle School Teachers, Except Special and Vocational Education",6,Detailed Occupation,25-2020,25-0000,25-2000,25-2020,25-2022
25-2023,"Vocational Education Teachers, Middle School",6,Detailed Occupation,25-2020,25-0000,25-2000,25-2020,25-2023
25-2030,Secondary School Teachers,5,Broad Occupation,25-2000,25-0000,25-2000,25-2030,NA
25-2031,"Secondary School Teachers, Except Special and Vocational Education",6,Detailed Occupation,25-2030,25-0000,25-2000,25-2030,25-2031
25-2032,"Vocational Education Teachers, Secondary School",6,Detailed Occupation,25-2030,25-0000,25-2000,25-2030,25-2032
25-2040,Special Education Teachers,5,Broad Occupation,25-2000,25-0000,25-2000,25-2040,NA
25-2041,"Special Education Teachers, Preschool, Kindergarten, and Elementary School",6,Detailed Occupation,25-2040,25-0000,25-2000,25-2040,25-2041
25-2042,"Special Education Teachers, Middle School",6,Detailed Occupation,25-2040,25-0000,25-2000,25-2040,25-2042
25-2043,"Special Education Teachers, Secondary School",6,Detailed Occupation,25-2040,25-0000,25-2000,25-2040,25-2043
25-3000,Other Teachers and Instructors,3,Minor Group,25-0000,25-0000,25-3000,NA,NA
25-3010,"Adult Literacy, Remedial Education, and GED Teachers and Instructors",5,Broad Occupation,25-3000,25-0000,25-3000,25-3010,NA
25-3011,"Adult Literacy, Remedial Education, and GED Teachers and Instructors",6,Detailed Occupation,25-3010,25-0000,25-3000,25-3010,25-3011
25-3020,Self-Enrichment Education Teachers,5,Broad Occupation,25-3000,25-0000,25-3000,25-3020,NA
25-3021,Self-Enrichment Education Teachers,6,Detailed Occupation,25-3020,25-0000,25-3000,25-3020,25-3021
25-3090,Miscellaneous Teachers and Instructors,5,Broad Occupation,25-3000,25-0000,25-3000,25-3090,NA
25-3099,"Teachers and Instructors, All Other",6,Detailed Occupation,25-3090,25-0000,25-3000,25-3090,25-3099
25-4000,"Librarians, Curators, and Archivists",3,Minor Group,25-0000,25-0000,25-4000,NA,NA
25-4010,"Archivists, Curators, and Museum Technicians",5,Broad Occupation,25-4000,25-0000,25-4000,25-4010,NA
25-4011,Archivists,6,Detailed Occupation,25-4010,25-0000,25-4000,25-4010,25-4011
25-4012,Curators,6,Detailed Occupation,25-4010,25-0000,25-4000,25-4010,25-4012
25-4013,Museum Technicians and Conservators,6,Detailed Occupation,25-4010,25-0000,25-4000,25-4010,25-4013
25-4020,Librarians,5,Broad Occupation,25-4000,25-0000,25-4000,25-4020,NA
25-4021,Librarians,6,Detailed Occupation,25-4020,25-0000,25-4000,25-4020,25-4021
25-4030,Library Technicians,5,Broad Occupation,25-4000,25-0000,25-4000,25-4030,NA
25-4031,Library Technicians,6,Detailed Occupation,25-4030,25-0000,25-4000,25-4030,25-4031
25-9000,"Other Education, Training, and Library Occupations",3,Minor Group,25-0000,25-0000,25-9000,NA,NA
25-9010,Audio-Visual Collections Specialists,5,Broad Occupation,25-9000,25-0000,25-9000,25-9010,NA
25-9011,Audio-Visual Collections Specialists,6,Detailed Occupation,25-9010,25-0000,25-9000,25-9010,25-9011
25-9020,Farm and Home Management Advisors,5,Broad Occupation,25-9000,25-0000,25-9000,25-9020,NA
25-9021,Farm and Home Management Advisors,6,Detailed Occupation,25-9020,25-0000,25-9000,25-9020,25-9021
25-9030,Instructional Coordinators,5,Broad Occupation,25-9000,25-0000,25-9000,25-9030,NA
25-9031,Instructional Coordinators,6,Detailed Occupation,25-9030,25-0000,25-9000,25-9030,25-9031
25-9040,Teacher Assistants,5,Broad Occupation,25-9000,25-0000,25-9000,25-9040,NA
25-9041,Teacher Assistants,6,Detailed Occupation,25-9040,25-0000,25-9000,25-9040,25-9041
25-9090,"Miscellaneous Education, Training, and Library Workers",5,Broad Occupation,25-9000,25-0000,25-9000,25-9090,NA
25-9099,"Education, Training, and Library Workers, All Other",6,Detailed Occupation,25-9090,25-0000,25-9000,25-9090,25-9099
27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",2,Major Group,NA,27-0000,NA,NA,NA
27-1000,Art and Design Workers,3,Minor Group,27-0000,27-0000,27-1000,NA,NA
27-1010,Artists and Related Workers,5,Broad Occupation,27-1000,27-0000,27-1000,27-1010,NA
27-1011,Art Directors,6,Detailed Occupation,27-1010,27-0000,27-1000,27-1010,27-1011
27-1012,Craft Artists,6,Detailed Occupation,27-1010,27-0000,27-1000,27-1010,27-1012
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",6,Detailed Occupation,27-1010,27-0000,27-1000,27-1010,27-1013
27-1014,Multi-Media Artists and Animators,6,Detailed Occupation,27-1010,27-0000,27-1000,27-1010,27-1014
27-1019,"Artists and Related Workers, All Other",6,Detailed Occupation,27-1010,27-0000,27-1000,27-1010,27-1019
27-1020,Designers,5,Broad Occupation,27-1000,27-0000,27-1000,27-1020,NA
27-1021,Commercial and Industrial Designers,6,Detailed Occupation,27-1020,27-0000,27-1000,27-1020,27-1021
27-1022,Fashion Designers,6,Detailed Occupation,27-1020,27-0000,27-1000,27-1020,27-1022
27-1023,Floral Designers,6,Detailed Occupation,27-1020,27-0000,27-1000,27-1020,27-1023
27-1024,Graphic Designers,6,Detailed Occupation,27-1020,27-0000,27-1000,27-1020,27-1024
27-1025,Interior Designers,6,Detailed Occupation,27-1020,27-0000,27-1000,27-1020,27-1025
27-1026,Merchandise Displayers and Window Trimmers,6,Detailed Occupation,27-1020,27-0000,27-1000,27-1020,27-1026
27-1027,Set and Exhibit Designers,6,Detailed Occupation,27-1020,27-0000,27-1000,27-1020,27-1027
27-1029,"Designers, All Other",6,Detailed Occupation,27-1020,27-0000,27-1000,27-1020,27-1029
27-2000,"Entertainers and Performers, Sports and Related Workers",3,Minor Group,27-0000,27-0000,27-2000,NA,NA
27-2010,"Actors, Producers, and Directors",5,Broad Occupation,27-2000,27-0000,27-2000,27-2010,NA
27-2011,Actors,6,Detailed Occupation,27-2010,27-0000,27-2000,27-2010,27-2011
27-2012,Producers and Directors,6,Detailed Occupation,27-2010,27-0000,27-2000,27-2010,27-2012
27-2020,"Athletes, Coaches, Umpires, and Related Workers",5,Broad Occupation,27-2000,27-0000,27-2000,27-2020,NA
27-2021,Athletes and Sports Competitors,6,Detailed Occupation,27-2020,27-0000,27-2000,27-2020,27-2021
27-2022,Coaches and Scouts,6,Detailed Occupation,27-2020,27-0000,27-2000,27-2020,27-2022
27-2023,"Umpires, Referees, and Other Sports Officials",6,Detailed Occupation,27-2020,27-0000,27-2000,27-2020,27-2023
27-2030,Dancers and Choreographers,5,Broad Occupation,27-2000,27-0000,27-2000,27-2030,NA
27-2031,Dancers,6,Detailed Occupation,27-2030,27-0000,27-2000,27-2030,27-2031
27-2032,Choreographers,6,Detailed Occupation,27-2030,27-0000,27-2000,27-2030,27-2032
27-2040,"Musicians, Singers, and Related Workers",5,Broad Occupation,27-2000,27-0000,27-2000,27-2040,NA
27-2041,Music Directors and Composers,6,Detailed Occupation,27-2040,27-0000,27-2000,27-2040,27-2041
27-2042,Musicians and Singers,6,Detailed Occupation,27-2040,27-0000,27-2000,27-2040,27-2042
27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",5,Broad Occupation,27-2000,27-0000,27-2000,27-2090,NA
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",6,Detailed Occupation,27-2090,27-0000,27-2000,27-2090,27-2099
27-3000,Media and Communication Workers,3,Minor Group,27-0000,27-0000,27-3000,NA,NA
27-3010,Announcers,5,Broad Occupation,27-3000,27-0000,27-3000,27-3010,NA
27-3011,Radio and Television Announcers,6,Detailed Occupation,27-3010,27-0000,27-3000,27-3010,27-3011
27-3012,Public Address System and Other Announcers,6,Detailed Occupation,27-3010,27-0000,27-3000,27-3010,27-3012
27-3020,"News Analysts, Reporters and Correspondents",5,Broad Occupation,27-3000,27-0000,27-3000,27-3020,NA
27-3021,Broadcast News Analysts,6,Detailed Occupation,27-3020,27-0000,27-3000,27-3020,27-3021
27-3022,Reporters and Correspondents,6,Detailed Occupation,27-3020,27-0000,27-3000,27-3020,27-3022
27-3030,Public Relations Specialists,5,Broad Occupation,27-3000,27-0000,27-3000,27-3030,NA
27-3031,Public Relations Specialists,6,Detailed Occupation,27-3030,27-0000,27-3000,27-3030,27-3031
27-3040,Writers and Editors,5,Broad Occupation,27-3000,27-0000,27-3000,27-3040,NA
27-3041,Editors,6,Detailed Occupation,27-3040,27-0000,27-3000,27-3040,27-3041
27-3042,Technical Writers,6,Detailed Occupation,27-3040,27-0000,27-3000,27-3040,27-3042
27-3043,Writers and Authors,6,Detailed Occupation,27-3040,27-0000,27-3000,27-3040,27-3043
27-3090,Miscellaneous Media and Communication Workers,5,Broad Occupation,27-3000,27-0000,27-3000,27-3090,NA
27-3091,Interpreters and Translators,6,Detailed Occupation,27-3090,27-0000,27-3000,27-3090,27-3091
27-3099,"Media and Communication Workers, All Other",6,Detailed Occupation,27-3090,27-0000,27-3000,27-3090,27-3099
27-4000,Media and Communication Equipment Workers,3,Minor Group,27-0000,27-0000,27-4000,NA,NA
27-4010,Broadcast and Sound Engineering Technicians and Radio Operators,5,Broad Occupation,27-4000,27-0000,27-4000,27-4010,NA
27-4011,Audio and Video Equipment Technicians,6,Detailed Occupation,27-4010,27-0000,27-4000,27-4010,27-4011
27-4012,Broadcast Technicians,6,Detailed Occupation,27-4010,27-0000,27-4000,27-4010,27-4012
27-4013,Radio Operators,6,Detailed Occupation,27-4010,27-0000,27-4000,27-4010,27-4013
27-4014,Sound Engineering Technicians,6,Detailed Occupation,27-4010,27-0000,27-4000,27-4010,27-4014
27-4020,Photographers,5,Broad Occupation,27-4000,27-0000,27-4000,27-4020,NA
27-4021,Photographers,6,Detailed Occupation,27-4020,27-0000,27-4000,27-4020,27-4021
27-4030,"Television, Video, and Motion Picture Camera Operators and Editors",5,Broad Occupation,27-4000,27-0000,27-4000,27-4030,NA
27-4031,"Camera Operators, Television, Video, and Motion Picture",6,Detailed Occupation,27-4030,27-0000,27-4000,27-4030,27-4031
27-4032,Film and Video Editors,6,Detailed Occupation,27-4030,27-0000,27-4000,27-4030,27-4032
27-4090,Miscellaneous Media and Communication Equipment Workers,5,Broad Occupation,27-4000,27-0000,27-4000,27-4090,NA
27-4099,"Media and Communication Equipment Workers, All Other",6,Detailed Occupation,27-4090,27-0000,27-4000,27-4090,27-4099
29-0000,Healthcare Practitioners and Technical Occupations,2,Major Group,NA,29-0000,NA,NA,NA
29-1000,Health Diagnosing and Treating Practitioners,3,Minor Group,29-0000,29-0000,29-1000,NA,NA
29-1010,Chiropractors,5,Broad Occupation,29-1000,29-0000,29-1000,29-1010,NA
29-1011,Chiropractors,6,Detailed Occupation,29-1010,29-0000,29-1000,29-1010,29-1011
29-1020,Dentists,5,Broad Occupation,29-1000,29-0000,29-1000,29-1020,NA
29-1021,"Dentists, General",6,Detailed Occupation,29-1020,29-0000,29-1000,29-1020,29-1021
29-1022,Oral and Maxillofacial Surgeons,6,Detailed Occupation,29-1020,29-0000,29-1000,29-1020,29-1022
29-1023,Orthodontists,6,Detailed Occupation,29-1020,29-0000,29-1000,29-1020,29-1023
29-1024,Prosthodontists,6,Detailed Occupation,29-1020,29-0000,29-1000,29-1020,29-1024
29-1029,"Dentists, All Other Specialists",6,Detailed Occupation,29-1020,29-0000,29-1000,29-1020,29-1029
29-1030,Dietitians and Nutritionists,5,Broad Occupation,29-1000,29-0000,29-1000,29-1030,NA
29-1031,Dietitians and Nutritionists,6,Detailed Occupation,29-1030,29-0000,29-1000,29-1030,29-1031
29-1040,Optometrists,5,Broad Occupation,29-1000,29-0000,29-1000,29-1040,NA
29-1041,Optometrists,6,Detailed Occupation,29-1040,29-0000,29-1000,29-1040,29-1041
29-1050,Pharmacists,5,Broad Occupation,29-1000,29-0000,29-1000,29-1050,NA
29-1051,Pharmacists,6,Detailed Occupation,29-1050,29-0000,29-1000,29-1050,29-1051
29-1060,Physicians and Surgeons,5,Broad Occupation,29-1000,29-0000,29-1000,29-1060,NA
29-1061,Anesthesiologists,6,Detailed Occupation,29-1060,29-0000,29-1000,29-1060,29-1061
29-1062,Family and General Practitioners,6,Detailed Occupation,29-1060,29-0000,29-1000,29-1060,29-1062
29-1063,"Internists, General",6,Detailed Occupation,29-1060,29-0000,29-1000,29-1060,29-1063
29-1064,Obstetricians and Gynecologists,6,Detailed Occupation,29-1060,29-0000,29-1000,29-1060,29-1064
29-1065,"Pediatricians, General",6,Detailed Occupation,29-1060,29-0000,29-1000,29-1060,29-1065
29-1066,Psychiatrists,6,Detailed Occupation,29-1060,29-0000,29-1000,29-1060,29-1066
29-1067,Surgeons,6,Detailed Occupation,29-1060,29-0000,29-1000,29-1060,29-1067
29-1069,"Physicians and Surgeons, All Other",6,Detailed Occupation,29-1060,29-0000,29-1000,29-1060,29-1069
29-1070,Physician Assistants,5,Broad Occupation,29-1000,29-0000,29-1000,29-1070,NA
29-1071,Physician Assistants,6,Detailed Occupation,29-1070,29-0000,29-1000,29-1070,29-1071
29-1080,Podiatrists,5,Broad Occupation,29-1000,29-0000,29-1000,29-1080,NA
29-1081,Podiatrists,6,Detailed Occupation,29-1080,29-0000,29-1000,29-1080,29-1081
29-1110,Registered Nurses,5,Broad Occupation,29-1000,29-0000,29-1000,29-1110,NA
29-1111,Registered Nurses,6,Detailed Occupation,29-1110,29-0000,29-1000,29-1110,29-1111
29-1120,Therapists,5,Broad Occupation,29-1000,29-0000,29-1000,29-1120,NA
29-1121,Audiologists,6,Detailed Occupation,29-1120,29-0000,29-1000,29-1120,29-1121
29-1122,Occupational Therapists,6,Detailed Occupation,29-1120,29-0000,29-1000,29-1120,29-1122
29-1123,Physical Therapists,6,Detailed Occupation,29-1120,29-0000,29-1000,29-1120,29-1123
29-1124,Radiation Therapists,6,Detailed Occupation,29-1120,29-0000,29-1000,29-1120,29-1124
29-1125,Recreational Therapists,6,Detailed Occupation,29-1120,29-0000,29-1000,29-1120,29-1125
29-1126,Respiratory Therapists,6,Detailed Occupation,29-1120,29-0000,29-1000,29-1120,29-1126
29-1127,Speech-Language Pathologists,6,Detailed Occupation,29-1120,29-0000,29-1000,29-1120,29-1127
29-1129,"Therapists, All Other",6,Detailed Occupation,29-1120,29-0000,29-1000,29-1120,29-1129
29-1130,Veterinarians,5,Broad Occupation,29-1000,29-0000,29-1000,29-1130,NA
29-1131,Veterinarians,6,Detailed Occupation,29-1130,29-0000,29-1000,29-1130,29-1131
29-1190,Miscellaneous Health Diagnosing and Treating Practitioners,5,Broad Occupation,29-1000,29-0000,29-1000,29-1190,NA
29-1199,"Health Diagnosing and Treating Practitioners, All Other",6,Detailed Occupation,29-1190,29-0000,29-1000,29-1190,29-1199
29-2000,Health Technologists and Technicians,3,Minor Group,29-0000,29-0000,29-2000,NA,NA
29-2010,Clinical Laboratory Technologists and Technicians,5,Broad Occupation,29-2000,29-0000,29-2000,29-2010,NA
29-2011,Medical and Clinical Laboratory Technologists,6,Detailed Occupation,29-2010,29-0000,29-2000,29-2010,29-2011
29-2012,Medical and Clinical Laboratory Technicians,6,Detailed Occupation,29-2010,29-0000,29-2000,29-2010,29-2012
29-2020,Dental Hygienists,5,Broad Occupation,29-2000,29-0000,29-2000,29-2020,NA
