sic1987,sic1987_title,naics2022,naics2022_title
2789,Bookbinding and Related Work,NA,NA
2791,Typesetting,NA,NA
2796,Platemaking and Related Services,NA,NA
2812,Alkalies and Chlorine,NA,NA
2813,Industrial Gases,NA,NA
2816,Inorganic Pigments (except bone and lamp black),NA,NA
2816,Inorganic Pigments (bone and lamp black),NA,NA
2819,"Industrial Inorganic Chemicals, NEC (recovering sulfur from natural gas)",NA,NA
2819,"Industrial Inorganic Chemicals, NEC (inorganic dyes)",NA,NA
2819,"Industrial Inorganic Chemicals, NEC (except activated carbon and charcoal, alumina, recovering sulfur from natural gas, and inorganic dyes)",NA,NA
2819,"Industrial Inorganic Chemicals, NEC (activated carbon and charcoal)",NA,NA
2819,"Industrial Inorganic Chemicals, NEC (alumina)",NA,NA
2821,"Plastics Materials, Synthetic and Resins, and Nonvulcanizable Elastomers",NA,NA
2822,Synthetic Rubber,NA,NA
2823,Cellulosic Manmade Fibers,NA,NA
2824,"Manmade Organic Fibers, Except Cellulosic",NA,NA
2833,Medicinal Chemicals and Botanical Products,NA,NA
2834,Pharmaceutical Preparations,NA,NA
2835,In Vitro and In Vivo Diagnostic Substances (except in-vitro diagnostic substances),NA,NA
2835,In Vitro and In Vivo Diagnostic Substances (in-vitro diagnostic substances),NA,NA
2836,"Biological Products, Except Diagnostic Substances",NA,NA
2841,"Soaps and Other Detergents, Except Specialty Cleaners",NA,NA
2842,"Specialty Cleaning, Polishing, and Sanitation Preparations",NA,NA
2843,"Surface Active Agents, Finishing Agents, Sulfonated Oils, and Assistants",NA,NA
2844,"Perfumes, Cosmetics, and Other Toilet Preparations (toothpaste, gel, and dentifrice powders)",NA,NA
2844,"Perfumes, Cosmetics, and Other Toilet Preparations (except toothpaste, gel, and dentifrice powders)",NA,NA
2851,"Paints, Varnishes, Lacquers, Enamels and Allied Products",NA,NA
2861,Gum and Wood Chemicals,NA,NA
2865,"Cyclic Organic Crudes and Intermediates, and Organic Dyes and Pigments (aromatics)",NA,NA
2865,"Cyclic Organic Crudes and Intermediates, and Organic Dyes and Pigments (organic dyes and pigments)",NA,NA
2865,Cyclic Organic Crudes and Intermediates and Organic Dyes and Pigments (except aromatics and organic dyes and pigments),NA,NA
2869,"Industrial Organic Chemicals, NEC (aliphatics)",NA,NA
2869,"Industrial Organic Chemicals, NEC (fluorocarbon gases)",NA,NA
2869,"Industrial Organic Chemicals, NEC (carbon bisulfide)",NA,NA
2869,"Industrial Organic Chemicals, NEC (ethyl alcohol)",NA,NA
2869,"Industrial Organic Chemicals, NEC (cyclopropane, diethylcyclohexane, naphthalene sulfonic acid)",NA,NA
2869,"Industrial Organic Chemicals, NEC (except aliphatics, carbon bisulfide, ethyl alcohol, cyclopropane, diethylcyclohexane, napthalene sulfonic acid, synthetic hydraulic fluids, and fluorocarbon gases)",NA,NA
2869,"Industrial Organic Chemicals, NEC (synthetic hydraulic fluids)",NA,NA
2873,Nitrogenous Fertilizers,NA,NA
2874,Phosphatic Fertilizers,NA,NA
2875,"Fertilizers, Mixing Only",NA,NA
2875,"Fertilizers, Mixing Only",NA,NA
2879,"Pesticides and Agricultural Chemicals, NEC",NA,NA
2891,Adhesives and Sealants,NA,NA
2892,Explosives,NA,NA
2893,Printing Ink,NA,NA
2895,Carbon Black,NA,NA
2899,"Chemicals and Chemical Preparations, NEC (table salt)",NA,NA
2899,"Chemicals and Chemical Preparations, NEC (fatty acids)",NA,NA
2899,"Chemicals and Chemical Preparations, NEC (frit and plastic wood fillers)",NA,NA
2899,"Chemicals and Chemical Preparations, NEC (except frit, fatty acids, plastic wood fillers, and table salt)",NA,NA
2911,Petroleum Refining,NA,NA
2951,Asphalt Paving Mixtures and Blocks,NA,NA
2952,Asphalt Felts and Coatings,NA,NA
2992,Lubricating Oils and Greases,NA,NA
2999,"Products of Petroleum and Coal, NEC",NA,NA
3011,Tires and Inner Tubes,NA,NA
3021,Rubber and Plastics Footwear,NA,NA
3052,Rubber and Plastics Hose and Belting,NA,NA
3053,"Gaskets, Packing, and Sealing Devices",NA,NA
3061,"Molded, Extruded, and Lathe-Cut Mechanical Rubber Goods",NA,NA
3061,"Molded, Extruded, and Lathe-Cut Mechanical Rubber Goods",NA,NA
3069,"Fabricated Rubber Products, NEC (rubberizing fabric or purchased textile products)",NA,NA
3069,"Fabricated Rubber Products, NEC (bags made from rubberized fabric)",NA,NA
3069,"Fabricated Rubber Products, NEC (rubber cut and sew outerwear)",NA,NA
3069,"Fabricated Rubber Products, NEC (bibs, bathing caps, related rubber accessories)",NA,NA
3069,"Fabricated Rubber Products, NEC (rubber resilient floor coverings)",NA,NA
3069,"Fabricated Rubber Products, NEC (except rubberized fabric and garments, gloves, life vests, wet suits, accessories, such as bibs and bathing caps, rubber toys, bags made from rubberized fabric, rubber diaper covers, and rubber resilient floor coverings)",NA,NA
3069,"Fabricated Rubber Products, NEC (except rubberized fabric and garments, gloves, life vests, wet suits, accessories, such as bibs and bathing caps, rubber toys, bags made from rubberized fabric, rubber diaper covers, and rubber resilient floor coverings)",NA,NA
3069,"Fabricated Rubber Products, NEC (rubber gloves, inflatable rubber lifejackets)",NA,NA
3069,"Fabricated Rubber Products, NEC (wet suits)",NA,NA
3069,"Fabricated Rubber Products, NEC (rubber toys, except dolls)",NA,NA
3081,Unsupported Plastics Film and Sheet,NA,NA
3082,Unsupported Plastics Profile Shapes,NA,NA
3083,"Laminated Plastics Plate, Sheet, and Profile Shapes",NA,NA
3084,Plastics Pipe,NA,NA
3085,Plastics Bottles,NA,NA
3086,Plastics Foam Products (polystyrene foam products),NA,NA
3086,Plastics Foam Products (except polystyrene foam products),NA,NA
3087,Custom Compounding of Purchased Plastics Resins,NA,NA
3088,Plastics Plumbing Fixtures,NA,NA
3089,"Plastics Products, NEC (plastics sausage casings)",NA,NA
3089,"Plastics Products, NEC (pipe fittings)",NA,NA
3089,"Plastics Products, NEC (except plastics pipe fittings, inflatable plastics life jackets, plastics furniture parts, and plastics sausage casings)",NA,NA
3089,"Plastics Products, NEC (except plastics pipe fittings, inflatable plastics life jackets, plastics furniture parts, and plastics sausage casings)",NA,NA
3089,"Plastics Products, NEC (finished plastic furniture parts)",NA,NA
3089,"Plastics Products, NEC (inflatable plastic life jackets)",NA,NA
3111,Leather Tanning and Finishing,NA,NA
3131,Boot and Shoe Cut Stock and Findings (except wood heels and metal buckles),NA,NA
3131,Boot and Shoe Cut Stock and Findings (wood heels),NA,NA
3131,Boot and Shoe Cut Stock and Findings (metal buckles),NA,NA
3142,House Slippers,NA,NA
3143,"Men’s Footwear, Except Athletic",NA,NA
3144,"Women’s Footwear, Except Athletic",NA,NA
3149,"Footwear,  Except Rubber, NEC",NA,NA
3151,Leather Gloves and Mittens (men's and boys' contractors),NA,NA
3151,"Leather Gloves and Mittens (women's, girls', and infants' contractors)",NA,NA
3151,Leather Gloves and Mittens (men's and boys' contractors),NA,NA
3151,"Leather Gloves and Mittens (women's, girls', and infants' contractors)",NA,NA
3151,Leather Gloves and Mittens (except contractors),NA,NA
3161,Luggage,NA,NA
3171,Women’s Handbags and Purses,NA,NA
3172,"Personal Leather Goods, Except Women’s Handbags and Purses (except nonprecious metal personal goods, such as card cases, cigar cases, and comb cases)",NA,NA
3172,"Personal Leather Goods, Except Women's Handbags and Purses (nonprecious metal personal goods, such as card cases, cigar cases, and comb cases)",NA,NA
3199,"Leather Goods, NEC",NA,NA
3211,Flat Glass,NA,NA
3221,Glass Containers,NA,NA
3229,"Pressed and Blown Glass and Glassware, NEC",NA,NA
3231,Glass Products Made of Purchased Glass,NA,NA
3241,"Cement, Hydraulic",NA,NA
3251,Brick and Structural Clay Tile (except slumped brick),NA,NA
3251,Brick and Structural Clay Tile (slumped brick),NA,NA
3253,Ceramic Wall and Floor Tile,NA,NA
3255,Clay Refractories,NA,NA
3259,"Structural Clay Products, NEC",NA,NA
3261,Vitreous China Plumbing Fixtures and China and Earthenware Fittings and Bathroom Accessories,NA,NA
3262,Vitreous China Table and Kitchen Articles,NA,NA
3263,Fine Earthenware (Whiteware) Table and Kitchen Articles,NA,NA
3264,Porcelain Electrical Supplies,NA,NA
3269,"Pottery Products, NEC",NA,NA
3271,Concrete Block and Brick,NA,NA
3272,"Concrete Products, Except Block and Brick (concrete pipe)",NA,NA
3272,"Concrete Products, Except Block and Brick (concrete products, except dry mix concrete and pipe)",NA,NA
3272,"Concrete Products, Except Block and Brick (dry mixture concrete)",NA,NA
3273,Ready-Mixed Concrete,NA,NA
3274,Lime,NA,NA
3275,Gypsum Products,NA,NA
3281,Cut Stone and Stone Products,NA,NA
3291,Abrasive Products (except steel wool with or without soap),NA,NA
3291,Abrasive Products (steel wool with or without soap),NA,NA
3292,Asbestos Products (except brake pads and linings),NA,NA
3292,Asbestos Products (asbestos brake linings and pads),NA,NA
3292,"Asbestos Products (asbestos clutch facings, motor vehicle)",NA,NA
3295,"Minerals and Earths, Ground or Otherwise Treated (grinding, washing, separating, etc. of kaolin and ball clay)",NA,NA
3295,"Minerals and Earths, Ground or Otherwise Treated (grinding, washing, separating, etc. of clay, ceramic, and refractory minerals nec)",NA,NA
3295,"Minerals and Earths, Ground or Otherwise Treated (grinding, washing, separating, etc. of chemical and fertilizer minerals, nec)",NA,NA
3295,"Minerals and Earths, Ground or Otherwise Treated (grinding, washing, separating, etc. of nonmetallic minerals, nec)",NA,NA
3295,"Minerals and Earths, Ground or Otherwise Treated (except grinding, washing, separating, etc. of nonmetallic minerals)",NA,NA
3296,Mineral Wool,NA,NA
3297,Nonclay Refractories,NA,NA
3299,"Nonmetallic Mineral Products, NEC (clay statuary)",NA,NA
3299,"Nonmetallic Mineral Products, NEC (moldings, ornamental and architectural plaster work, and gypsum statuary )",NA,NA
3299,"Nonmetallic Mineral Products, NEC (except moldings, ornamental and architectural plaster work, clay statuary, and gypsum statuary)",NA,NA
3312,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling Mills (coke ovens)",NA,NA
3312,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling Mills (except coke ovens not integrated with steel mills and hot-rolling purchased steel)",NA,NA
3312,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling Mills (hot-rolling purchased steel)",NA,NA
3313,"Electrometallurgical Products, Except Steel",NA,NA
3315,Steel Wiredrawing and Steel Nails and Spikes (steel wire drawing),NA,NA
3315,"Steel Wiredrawing and Steel Nails and Spikes (nails, spikes, paper clips, and wire not made in wiredrawing plants)",NA,NA
3316,"Cold-Rolled Steel Sheet, Strip, and Bars",NA,NA
3317,Steel Pipe and Tubes,NA,NA
3321,Gray and Ductile Iron Foundries,NA,NA
3322,Malleable Iron Foundries,NA,NA
3324,Steel Investment Foundries,NA,NA
3325,"Steel Foundries, NEC",NA,NA
3331,Primary Smelting and Refining of Copper,NA,NA
3334,Primary Production of Aluminum,NA,NA
3339,"Primary Smelting and Refining of Nonferrous Metals, Except Copper and Aluminum",NA,NA
3341,Secondary Smelting and Refining of Nonferrous Metals (aluminum),NA,NA
3341,Secondary Smelting and Refining of Nonferrous Metals (copper),NA,NA
3341,Secondary Smelting and Refining of Nonferrous Metals (except copper and aluminum),NA,NA
3351,"Rolling, Drawing, and Extruding of Copper",NA,NA
3353,"Aluminum Sheet, Plate, and Foil",NA,NA
3354,Aluminum Extruded Products,NA,NA
3355,"Aluminum Rolling and Drawing, NEC",NA,NA
3356,"Rolling, Drawing, and Extruding of Nonferrous Metals, Except Copper and Aluminum",NA,NA
3357,Drawing and Insulating of Nonferrous Wire (aluminum wire drawing),NA,NA
3357,Drawing and Insulating of Nonferrous Wire (copper wire drawing),NA,NA
3357,Drawing and Insulating of Nonferrous Wire (wire drawing except copper or aluminum),NA,NA
3357,Drawing and Insulating of Nonferrous Wire (fiber optic cable-insulating only),NA,NA
3357,"Drawing and Insulating of Nonferrous Wire (communication and energy wire, except fiber optic-insulating only)",NA,NA
3363,Aluminum Die-Castings,NA,NA
3364,"Nonferrous Die-Castings, Except Aluminum",NA,NA
3365,Aluminum Foundries,NA,NA
3366,Copper Foundries,NA,NA
3369,"Nonferrous Foundries, Except Aluminum and Copper",NA,NA
3398,Metal Heat Treating,NA,NA
3399,"Primary Metal Products, NEC (iron ore recovery from open hearth slag)",NA,NA
3399,"Primary Metal Products, NEC (ferrous powder, paste, flakes, etc.)",NA,NA
3399,"Primary Metal Products, NEC (aluminum powder, paste, flakes, etc.)",NA,NA
3399,"Primary Metal Products, NEC (copper powder, paste, flakes, etc.)",NA,NA
3399,"Primary Metal Products, NEC (nonferrous powder, paste, flakes, etc. except copper and aluminum)",NA,NA
3399,"Primary Metal Products, NEC (nonferrous nails, brads, staples, tacks, etc. made from purchased nonferrous wire)",NA,NA
3399,"Primary Metal Products, NEC (laminating steel for the trade)",NA,NA
3411,Metal Cans,NA,NA
3412,"Metal Shipping Barrels, Drums, Kegs, and Pails",NA,NA
3421,"Cutlery (except hedge shears and trimmers, tinners' snips, and similar nonelectric hand tools)",NA,NA
3421,"Cutlery (hedge shears and trimmers, tinners snips, and similar nonelectric hand tools)",NA,NA
3423,"Hand and Edge Tools, Except Machine Tools and Handsaws",NA,NA
3425,Saw Blades and Handsaws,NA,NA
3429,"Hardware, NEC (vacuum and insulated bottles, jugs, and chests)",NA,NA
3429,"Hardware, NEC (except fire hose nozzles, hose couplings, vacuum and insulated bottles, jugs and chests, fireplace fixtures, time locks, turnbuckles, pulleys, tackle blocks, luggage and utility racks, sleep sofa mechanisms and chair glides, traps, handcuffs and leg irons, ladder jacks, and other like metal products)",NA,NA
3429,"Hardware, NEC (turnbuckles and hose clamps)",NA,NA
3429,"Hardware, NEC (fire hose nozzles and hose couplings)",NA,NA
3429,"Hardware, NEC (fireplace fixtures, traps, handcuffs and leg irons, ladder jacks, and other like metal products)",NA,NA
3429,"Hardware, NEC (pulleys, tackle blocks, block and tackle assemblies)",NA,NA
3429,"Hardware, NEC (time locks)",NA,NA
3429,"Hardware, NEC (luggage and utility racks)",NA,NA
3429,"Hardware, NEC (sleep sofa mechanisms and chair glides)",NA,NA
3431,Enameled Iron and Metal Sanitary Ware,NA,NA
3432,"Plumbing Fixture Fittings and Trim (except shower rods, lawn hose nozzles, and lawn sprinklers)",NA,NA
3432,Plumbing Fixture Fittings and Trim (lawn hose nozzles and lawn sprinklers),NA,NA
3432,Plumbing Fixture Fittings and Trim (metal shower rods),NA,NA
3433,"Heating Equipment, Except Electric and Warm Air Furnaces",NA,NA
3441,Fabricated Structural Metal,NA,NA
3442,"Metal Doors, Sash, Frames, Molding, and Trim",NA,NA
3443,Fabricated Plate Work (Boiler Shops) (fabricated plate work and metal weldments),NA,NA
3443,Fabricated Plate Work (Boiler Shops) (power boilers and heat exchangers),NA,NA
3443,Fabricated Plate Work (Boiler Shops) (heavy gauge tanks),NA,NA
3443,Fabricated Plate Work (Boiler Shops) (metal cooling towers),NA,NA
3444,Sheet Metal Work (stamped metal skylights),NA,NA
3444,"Sheet Metal Work (except sheet metal bins and vats, skylights, and sheet metal cooling towers)",NA,NA
3444,Sheet Metal Work (metal bins and vats),NA,NA
3444,"Sheet Metal Work (cooling towers, sheet metal)",NA,NA
3446,Architectural and Ornamental Metal Work,NA,NA
3448,Prefabricated Metal Buildings and Components,NA,NA
3449,Miscellaneous Structural Metal Work (custom roll forming),NA,NA
3449,Miscellaneous Structural Metal Work (fabricated bar joists and concrete reinforcing bars),NA,NA
3449,Miscellaneous Structural Metal Work (curtain wall and metal plaster bases and lath),NA,NA
3451,Screw Machine Products,NA,NA
3452,"Bolts, Nuts, Screws, Rivets, and Washers",NA,NA
3462,Iron and Steel Forgings,NA,NA
3463,Nonferrous Forgings,NA,NA
3465,Automotive Stampings,NA,NA
3466,Crowns and Closures,NA,NA
3469,"Metal Stampings, NEC (except kitchen utensils, pots and pans for cooking, coins, and stamped metal boxes)",NA,NA
3469,"Metal Stampings, NEC (kitchen utensils, pots, and pans for cooking)",NA,NA
3469,"Metal Stampings, NEC (stamped metal tool, cash, mail, and lunch boxes)",NA,NA
3471,"Electroplating, Plating, Polishing, Anodizing, and Coloring",NA,NA
3479,"Coating, Engraving, and Allied Services, NEC (except jewelry, silverware, and flatware engraving and etching)",NA,NA
3479,"Coating, Engraving, and Allied Services, NEC (precious metal jewelry engraving and etching)",NA,NA
3479,"Coating, Engraving, and Allied Services, NEC (silver and plated ware engraving and etching)",NA,NA
3479,"Coating, Engraving, and Allied Services, NEC (costume jewelry engraving and etching)",NA,NA
3482,Small Arms Ammunition,NA,NA
3483,"Ammunition, Except for Small Arms",NA,NA
3484,Small Arms,NA,NA
3489,"Ordnance and Accessories, NEC",NA,NA
3491,Industrial Valves,NA,NA
3492,Fluid Power Valves and Hose Fittings,NA,NA
3493,"Steel Springs, Except Wire",NA,NA
3494,"Valves and Pipe Fittings, NEC (except metal pipe hangers and supports)",NA,NA
3494,"Valves and Pipe Fittings, NEC (metal pipe hangers and supports)",NA,NA
3495,Wire Springs (except watch and clock springs),NA,NA
3495,Wire Springs (clock and watch springs),NA,NA
3496,Miscellaneous Fabricated Wire Products (potato mashers),NA,NA
3496,Miscellaneous Fabricated Wire Products (except shopping carts and potato mashers),NA,NA
3496,Miscellaneous Fabricated Wire Products (shopping carts made from purchased wire),NA,NA
3497,Metal Foil and Leaf (laminated aluminum foil rolls and sheets for flexible packaging uses),NA,NA
3497,Metal Foil and Leaf (foil and foil containers),NA,NA
3498,Fabricated Pipe and Pipe Fittings,NA,NA
3499,"Fabricated Metal Products, NEC (powder metallurgy)",NA,NA
3499,"Fabricated Metal Products, NEC (metal boxes)",NA,NA
3499,"Fabricated Metal Products, NEC (safe and vault locks)",NA,NA
3499,"Fabricated Metal Products, NEC (metal aerosol valves)",NA,NA
3499,"Fabricated Metal Products, NEC (other metal products)",NA,NA
3499,"Fabricated Metal Products, NEC (metal automobile seat frames)",NA,NA
3499,"Fabricated Metal Products, NEC (metal furniture frames)",NA,NA
3511,"Steam, Gas, and Hydraulic Turbines, and Turbine Generator Set Units",NA,NA
3519,"Internal Combustion Engines, NEC (except stationary engine radiators)",NA,NA
3519,"Internal Combustion Engines, NEC (stationary engine radiators)",NA,NA
3523,Farm Machinery and Equipment (hand hair clippers for animals),NA,NA
3523,"Farm Machinery and Equipment (corrals, stalls, and holding gates)",NA,NA
3523,"Farm Machinery and Equipment (except corrals, stalls, holding gates, hand clippers for animals, and farm conveyors/elevators)",NA,NA
3523,Farm Machinery and Equipment (farm conveyors and elevators),NA,NA
3524,Lawn and Garden Tractors and Home Lawn and Garden Equipment (nonpowered lawnmowers),NA,NA
3524,Lawn and Garden Tractors and Home Lawn and Garden Equipment (except nonpowered lawnmowers),NA,NA
3531,"Construction Machinery and Equipment (except railway track maintenance equipment; winches, aerial work platforms; and automotive wrecker hoists)",NA,NA
3531,"Construction Machinery and Equipment (winches, aerial work platforms, automobile wrecker hoists, locomotive cranes, and ship cranes)",NA,NA
3531,Construction Machinery and Equipment (railway track maintenance equipment),NA,NA
3532,"Mining Machinery and Equipment, Except Oil and Gas Field Machinery and Equipment",NA,NA
3533,Oil and Gas Field Machinery and Equipment,NA,NA
3534,Elevators and Moving Stairways,NA,NA
3535,Conveyors and Conveying Equipment,NA,NA
3536,"Overhead Traveling Cranes, Hoists, and Monorail Systems",NA,NA
3537,"Industrial Trucks, Tractors, Trailers, and Stackers (metal air cargo containers)",NA,NA
3537,"Industrial Trucks, Tractors, Trailers, and Stackers (metal pallets)",NA,NA
3537,"Industrial Trucks, Tractors, Trailers, and Stackers (except metal pallets and metal air cargo containers)",NA,NA
3541,"Machine Tools, Metal Cutting Types",NA,NA
3542,"Machine Tools, Metal Forming Type",NA,NA
3543,Industrial Patterns,NA,NA
3544,"Special Dies and Tools, Die Sets, Jigs and Fixtures, and Industrial Molds (industrial molds)",NA,NA
3544,"Special Dies and Tools, Die Sets, Jigs and Fixtures, and Industrial Molds (except molds)",NA,NA
3545,"Cutting Tools, Machine Tool Accessories, and Machinist Precision Measuring Devices (precision measuring devices)",NA,NA
3545,"Cutting Tools, Machine Tool Accessories, and Machinists' Precision Measuring Devices (except precision measuring devices)",NA,NA
3546,Power-Driven Handtools,NA,NA
3547,Rolling Mill Machinery and Equipment,NA,NA
3548,Electric and Gas Welding and Soldering Equipment (except transformers for arc-welding),NA,NA
3548,Electric and Gas Welding and Soldering Equipment (transformers for arc-welders),NA,NA
3549,"Metalworking Machinery, NEC",NA,NA
3552,Textile Machinery,NA,NA
3553,Woodworking Machinery,NA,NA
3554,Paper Industries Machinery,NA,NA
3555,Printing Trades Machinery and Equipment,NA,NA
3556,Food Products Machinery,NA,NA
3559,"Special Industry Machinery, NEC (nuclear control rod drive mechanisms)",NA,NA
3559,"Special Industry Machinery, NEC (cotton ginning machinery)",NA,NA
3559,"Special Industry Machinery, NEC (semiconductor machinery manufacturing)",NA,NA
3559,"Special Industry Machinery, NEC (rubber and plastics manufacturing machinery)",NA,NA
3559,"Special Industry Machinery, NEC (except rubber and plastics manufacturing machinery, semiconductor manufacturing machinery, and automotive maintenance equipment)",NA,NA
3559,"Special Industry Machinery, NEC (automotive maintenance equipment)",NA,NA
3561,Pumps and Pumping Equipment,NA,NA
3562,Ball and Roller Bearings,NA,NA
3563,Air and Gas Compressors,NA,NA
3564,Industrial and Commercial Fans and Blowers and Air Purification Equipment (air purification equipment),NA,NA
3564,Industrial and Commercial Fans and Blowers and Air Purification Equipment (fans and blowers),NA,NA
3565,Packaging Machinery,NA,NA
3566,"Speed Changers, Industrial High-Speed Drives, and Gears",NA,NA
3567,Industrial Process Furnaces and Ovens,NA,NA
3568,"Mechanical Power Transmission Equipment, NEC",NA,NA
3569,"General Industrial Machinery and Equipment, NEC (textile fire hose)",NA,NA
3569,"General Industrial Machinery and Equipment, NEC (electric swimming pool heaters)",NA,NA
3569,"General Industrial Machinery and Equipment, NEC (except fire hoses and electric swimming pool heaters)",NA,NA
3571,Electronic Computers,NA,NA
3572,Computer Storage Devices,NA,NA
3575,Computer Terminals,NA,NA
3577,"Computer Peripheral Equipment, NEC (except plotter controllers and magnetic tape head cleaners)",NA,NA
3577,"Computer Peripheral Equipment, NEC (except plotter controllers and magnetic tape head cleaners)",NA,NA
3577,"Computer Peripheral Equipment, NEC (plotter controllers)",NA,NA
3577,"Computer Peripheral Equipment, NEC (magnetic tape head cleaners)",NA,NA
3578,"Calculating and Accounting Machines, Except Electronic Computers (point of sale terminals and fund transfer devices)",NA,NA
3578,"Calculating and Accounting Machinery, Except Electronic Computers (change making machines)",NA,NA
3578,"Calculating and Accounting Machinery, Except Electronic Computers (except point of sales terminals, change making machines and funds transfer devices)",NA,NA
3578,"Calculating and Accounting Machines, Except Electronic Computers (point of sale terminals and fund transfer devices)",NA,NA
3579,"Office Machines, NEC (except timeclocks, time stamps, pencil sharpeners, stapling machines, etc.)",NA,NA
3579,"Office Machines, NEC (time clocks and other time recording devices)",NA,NA
3579,"Office Machines, NEC (pencil sharpeners, staplers and other office equipment)",NA,NA
3581,Automatic Vending Machines,NA,NA
3582,"Commercial Laundry, Drycleaning, and Pressing Machines",NA,NA
3585,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment (except motor vehicle air-conditioning),NA,NA
3585,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment (motor vehicle air-conditioning),NA,NA
3586,Measuring and Dispensing Pumps,NA,NA
3589,"Service Industry Machinery, NEC",NA,NA
3592,"Carburetors, Pistons, Piston Rings, and Valves",NA,NA
3593,Fluid Power Cylinders and Actuators,NA,NA
3594,Fluid Power Pumps and Motors,NA,NA
3596,"Scales and Balances, Except Laboratory",NA,NA
3599,"Industrial and Commercial Machinery and Equipment, NEC (machine shops)",NA,NA
3599,"Industrial and Commercial Machinery and Equipment, NEC (grinding castings for the trade)",NA,NA
3599,"Industrial and Commercial Machinery and Equipment, NEC (flexible metal hose)",NA,NA
3599,"Industrial and Commercial Machinery and Equipment, NEC (carnival amusement park equipment)",NA,NA
3599,"Industrial and Commercial Machinery and Equipment, NEC (other industrial and commercial machinery and equipment)",NA,NA
3599,"Industrial and Commercial Machinery and Equipment, NEC (water leak detectors)",NA,NA
3599,"Industrial and Commercial Machinery and Equipment, NEC (gasoline, oil, and intake filters for internal combustion engines, except for motor vehicles)",NA,NA
3612,"Power, Distribution, and Specialty Transformers",NA,NA
3613,Switchgear and Switchboard Apparatus,NA,NA
3621,Motors and Generators,NA,NA
3624,Carbon and Graphite Products,NA,NA
3625,Relays and Industrial Controls,NA,NA
3629,"Electrical Industrial Apparatus, NEC",NA,NA
3631,Household Cooking Equipment,NA,NA
3632,Household Refrigerators and Home and Farm Freezers,NA,NA
3633,Household Laundry Equipment,NA,NA
3634,Electric Housewares and Fans (wall and baseboard heating units for permanent installation),NA,NA
3634,"Electric Housewares and Fans (except wall and baseboard heating units for permanent installation, electronic cigarette lighters, and wall mount restroom hand dryers)",NA,NA
3634,Electric Housewares and Fans (electronic cigarette lighters),NA,NA
3635,Household Vacuum Cleaners,NA,NA
3639,"Household Appliances, NEC (household sewing machines)",NA,NA
3639,"Household Appliances, NEC (floor waxing and floor polishing machines)",NA,NA
3639,"Household Appliances, NEC (except floor waxing and floor polishing machines, and household sewing machines)",NA,NA
3641,Electric Lamp Bulbs and Tubes,NA,NA
3643,Current-Carrying Wiring Devices,NA,NA
3644,"Noncurrent-Carrying Wiring Devices (fish wire, electrical wiring tool)",NA,NA
3644,"Noncurrent-Carrying Wiring Devices (except fishwire, electrical wiring tool)",NA,NA
3645,Residential Electric Lighting Fixtures,NA,NA
3646,"Commercial, Industrial, and Institutional Electric Lighting Fixtures",NA,NA
3647,Vehicular Lighting Equipment,NA,NA
3648,"Lighting Equipment, NEC",NA,NA
3651,Household Audio and Video Equipment,NA,NA
3652,Phonograph Records and Prerecorded Audio Tapes and Disks (reproduction of all other media except video),NA,NA
3652,"Phonograph Records and Prerecorded Audio Tapes and Disks (integrated record companies, except duplication only)",NA,NA
3661,Telephone and Telegraph Apparatus (except consumer external modems),NA,NA
3661,Telephone and Telegraph Apparatus (consumer external modems),NA,NA
3663,Radio and Television Broadcasting and Communications Equipment,NA,NA
3663,Radio and Television Broadcasting and Communications Equipment,NA,NA
3669,"Communications Equipment, NEC",NA,NA
3671,Electron Tubes,NA,NA
3672,Printed Circuit Boards,NA,NA
3674,Semiconductors and Related Devices,NA,NA
3675,Electronic Capacitors,NA,NA
3676,Electronic Resistors,NA,NA
3677,"Electronic Coils, Transformers, and Other Inductors",NA,NA
3678,Electronic Connectors,NA,NA
3679,"Electronic Components, NEC (antennas)",NA,NA
3679,"Electronic Components, NEC (radio headphones)",NA,NA
3679,"Electronic Components, NEC (printed circuit/electronic assembly manufacturing)",NA,NA
3679,"Electronic Components, NEC (other electronic components)",NA,NA
3679,"Electronic Components, NEC (antennas)",NA,NA
3691,Storage Batteries,NA,NA
3692,"Primary Batteries, Dry and Wet",NA,NA
3694,Electrical Equipment for Internal Combustion Engines,NA,NA
3695,Magnetic and Optical Recording Media,NA,NA
3699,"Electrical Machinery, Equipment, and Supplies, NEC (electronic teaching machines and flight simulators)",NA,NA
3699,"Electrical Machinery, Equipment, and Supplies, NEC (outboard electric motors)",NA,NA
3699,"Electrical Machinery Equipment, and Supplies, NEC (laser welding and soldering equipment)",NA,NA
3699,"Electrical Machinery, Equipment, and Supplies, NEC (Christmas tree lighting sets, electric insect lamps, electric fireplace logs, and trouble lights)",NA,NA
3699,"Electrical Machinery, Equipment, and Supplies, NEC (other electrical industrial apparatus)",NA,NA
3711,Motor Vehicles and Passenger Car Bodies (automobiles),NA,NA
3711,Motor Vehicles and Passenger Car Bodies (light trucks and utility vehicles),NA,NA
3711,Motor Vehicles and Passenger Car Bodies (heavy duty trucks),NA,NA
