Level,Hierarchical_structure,noc_code,noc_title,Parent
3,Minor group,761,Trades helpers and labourers,76
4,Unit group,7611,Construction trades helpers and labourers,761
4,Unit group,7612,Other trades helpers and labourers,761
3,Minor group,762,"Public works and other labourers, n.e.c.",76
4,Unit group,7621,Public works and maintenance labourers,762
4,Unit group,7622,Railway and motor transport labourers,762
1,Broad occupational category,8,"Natural resources, agriculture and related production occupations",
2,Major group,82,"Supervisors and technical occupations in natural resources, agriculture and related production",8
3,Minor group,821,"Supervisors, logging and forestry",82
4,Unit group,8211,"Supervisors, logging and forestry",821
3,Minor group,822,"Contractors and supervisors, mining, oil and gas",82
4,Unit group,8221,"Supervisors, mining and quarrying",822
4,Unit group,8222,"Contractors and supervisors, oil and gas drilling and services",822
3,Minor group,823,"Underground miners, oil and gas drillers and related occupations",82
4,Unit group,8231,Underground production and development miners,823
4,Unit group,8232,"Oil and gas well drillers, servicers, testers and related workers",823
3,Minor group,824,Logging machinery operators,82
4,Unit group,8241,Logging machinery operators,824
3,Minor group,825,"Contractors and supervisors, agriculture, horticulture and related operations and services",82
4,Unit group,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",825
4,Unit group,8255,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",825
3,Minor group,826,Fishing vessel masters and fishermen/women,82
4,Unit group,8261,Fishing masters and officers,826
4,Unit group,8262,Fishermen/women,826
2,Major group,84,"Workers in natural resources, agriculture and related production",8
3,Minor group,841,Mine service workers and operators in oil and gas drilling,84
4,Unit group,8411,Underground mine service and support workers,841
4,Unit group,8412,Oil and gas well drilling and related workers and services operators,841
3,Minor group,842,Logging and forestry workers,84
4,Unit group,8421,Chain saw and skidder operators,842
4,Unit group,8422,Silviculture and forestry workers,842
3,Minor group,843,Agriculture and horticulture workers,84
4,Unit group,8431,General farm workers,843
4,Unit group,8432,Nursery and greenhouse workers,843
3,Minor group,844,Other workers in fishing and trapping and hunting occupations,84
4,Unit group,8441,Fishing vessel deckhands,844
4,Unit group,8442,Trappers and hunters,844
2,Major group,86,"Harvesting, landscaping and natural resources labourers",8
3,Minor group,861,"Harvesting, landscaping and natural resources labourers",86
4,Unit group,8611,Harvesting labourers,861
4,Unit group,8612,Landscaping and grounds maintenance labourers,861
4,Unit group,8613,Aquaculture and marine harvest labourers,861
4,Unit group,8614,Mine labourers,861
4,Unit group,8615,"Oil and gas drilling, servicing and related labourers",861
4,Unit group,8616,Logging and forestry labourers,861
1,Broad occupational category,9,Occupations in manufacturing and utilities,
2,Major group,92,"Processing, manufacturing and utilities supervisors and central control operators",9
3,Minor group,921,"Supervisors, processing and manufacturing occupations",92
4,Unit group,9211,"Supervisors, mineral and metal processing",921
4,Unit group,9212,"Supervisors, petroleum, gas and chemical processing and utilities",921
4,Unit group,9213,"Supervisors, food and beverage processing",921
4,Unit group,9214,"Supervisors, plastic and rubber products manufacturing",921
4,Unit group,9215,"Supervisors, forest products processing",921
4,Unit group,9217,"Supervisors, textile, fabric, fur and leather products processing and manufacturing",921
3,Minor group,922,"Supervisors, assembly and fabrication",92
4,Unit group,9221,"Supervisors, motor vehicle assembling",922
4,Unit group,9222,"Supervisors, electronics manufacturing",922
4,Unit group,9223,"Supervisors, electrical products manufacturing",922
4,Unit group,9224,"Supervisors, furniture and fixtures manufacturing",922
4,Unit group,9226,"Supervisors, other mechanical and metal products manufacturing",922
4,Unit group,9227,"Supervisors, other products manufacturing and assembly",922
3,Minor group,923,Central control and process operators in processing and manufacturing,92
4,Unit group,9231,"Central control and process operators, mineral and metal processing",923
4,Unit group,9232,"Central control and process operators, petroleum, gas and chemical processing",923
4,Unit group,9235,"Pulping, papermaking and coating control operators",923
3,Minor group,924,Utilities equipment operators and controllers,92
4,Unit group,9241,Power engineers and power systems operators,924
4,Unit group,9243,Water and waste treatment plant operators,924
2,Major group,94,Processing and manufacturing machine operators and related production workers,9
3,Minor group,941,Machine operators and related workers in mineral and metal products processing and manufacturing,94
4,Unit group,9411,"Machine operators, mineral and metal processing",941
4,Unit group,9412,Foundry workers,941
4,Unit group,9413,Glass forming and finishing machine operators and glass cutters,941
4,Unit group,9414,"Concrete, clay and stone forming operators",941
4,Unit group,9415,"Inspectors and testers, mineral and metal processing",941
4,Unit group,9416,Metalworking and forging machine operators,941
4,Unit group,9417,Machining tool operators,941
4,Unit group,9418,Other metal products machine operators,941
3,Minor group,942,"Machine operators and related workers in chemical, plastic and rubber processing",94
4,Unit group,9421,Chemical plant machine operators,942
4,Unit group,9422,Plastics processing machine operators,942
4,Unit group,9423,Rubber processing machine operators and related workers,942
3,Minor group,943,Machine operators and related workers in pulp and paper production and wood processing and manufacturing,94
4,Unit group,9431,Sawmill machine operators,943
4,Unit group,9432,Pulp mill machine operators,943
4,Unit group,9433,Papermaking and finishing machine operators,943
4,Unit group,9434,Other wood processing machine operators,943
4,Unit group,9435,Paper converting machine operators,943
4,Unit group,9436,Lumber graders and other wood processing inspectors and graders,943
4,Unit group,9437,Woodworking machine operators,943
3,Minor group,944,"Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing",94
4,Unit group,9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers",944
4,Unit group,9442,"Weavers, knitters and other fabric making occupations",944
4,Unit group,9445,"Fabric, fur and leather cutters",944
4,Unit group,9446,Industrial sewing machine operators,944
4,Unit group,9447,"Inspectors and graders, textile, fabric, fur and leather products manufacturing",944
3,Minor group,946,"Machine operators and related workers in food, beverage and associated products processing",94
4,Unit group,9461,"Process control and machine operators, food and beverage processing",946
4,Unit group,9462,"Industrial butchers and meat cutters, poultry preparers and related workers",946
4,Unit group,9463,Fish and seafood plant workers,946
4,Unit group,9465,"Testers and graders, food and beverage processing",946
3,Minor group,947,Printing equipment operators and related occupations,94
4,Unit group,9471,Plateless printing equipment operators,947
4,Unit group,9472,"Camera, platemaking and other prepress occupations",947
4,Unit group,9473,Binding and finishing machine operators,947
4,Unit group,9474,Photographic and film processors,947
2,Major group,95,Assemblers in manufacturing,9
3,Minor group,952,"Mechanical, electrical and electronics assemblers",95
4,Unit group,9521,Aircraft assemblers and aircraft assembly inspectors,952
4,Unit group,9522,"Motor vehicle assemblers, inspectors and testers",952
4,Unit group,9523,"Electronics assemblers, fabricators, inspectors and testers",952
4,Unit group,9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",952
4,Unit group,9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",952
4,Unit group,9526,Mechanical assemblers and inspectors,952
4,Unit group,9527,"Machine operators and inspectors, electrical apparatus manufacturing",952
3,Minor group,953,Other assembly and related occupations,95
4,Unit group,9531,Boat assemblers and inspectors,953
4,Unit group,9532,Furniture and fixture assemblers and inspectors,953
4,Unit group,9533,Other wood products assemblers and inspectors,953
4,Unit group,9534,Furniture finishers and refinishers,953
4,Unit group,9535,"Plastic products assemblers, finishers and inspectors",953
4,Unit group,9536,"Industrial painters, coaters and metal finishing process operators",953
4,Unit group,9537,"Other products assemblers, finishers and inspectors",953
2,Major group,96,"Labourers in processing, manufacturing and utilities",9
3,Minor group,961,"Labourers in processing, manufacturing and utilities",96
4,Unit group,9611,Labourers in mineral and metal processing,961
4,Unit group,9612,Labourers in metal fabrication,961
4,Unit group,9613,Labourers in chemical products processing and utilities,961
4,Unit group,9614,"Labourers in wood, pulp and paper processing",961
4,Unit group,9615,Labourers in rubber and plastic products manufacturing,961
4,Unit group,9616,Labourers in textile processing,961
4,Unit group,9617,Labourers in food and beverage processing,961
4,Unit group,9618,Labourers in fish and seafood processing,961
4,Unit group,9619,"Other labourers in processing, manufacturing and utilities",961
