isco1988,isco1988_title,soc2010,soc2010_title
2446,Social Work Professionals,21-1013,Marriage and Family Therapists
2446,Social Work Professionals,21-1014,Mental Health Counselors
2446,Social Work Professionals,21-1015,Rehabilitation Counselors
2446,Social Work Professionals,21-1019,"Counselors, All Other"
2446,Social Work Professionals,21-1021,"Child, Family, and School Social Workers"
2446,Social Work Professionals,21-1022,Healthcare Social Workers
2446,Social Work Professionals,21-1023,Mental Health and Substance Abuse Social Workers
2446,Social Work Professionals,21-1029,"Social Workers, All Other"
2446,Social Work Professionals,21-1092,Probation Officers and Correctional Treatment Specialists
2446,Social Work Professionals,21-1099,"Community and Social Service Specialists, All Other"
2451,"Authors, Journalists and Other Writers",13-1161,Market Research Analysts and Marketing Specialists
2451,"Authors, Journalists and Other Writers",27-3022,Reporters and Correspondents
2451,"Authors, Journalists and Other Writers",27-3031,Public Relations Specialists
2451,"Authors, Journalists and Other Writers",27-3041,Editors
2451,"Authors, Journalists and Other Writers",27-3042,Technical Writers
2451,"Authors, Journalists and Other Writers",27-3043,Writers and Authors
2452,"Sculptors, Painters and Related Artists",27-1012,Craft Artists
2452,"Sculptors, Painters and Related Artists",27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators"
2452,"Sculptors, Painters and Related Artists",27-1014,Multimedia Artists and Animators
2452,"Sculptors, Painters and Related Artists",27-1024,Graphic Designers
2453,"Composers, Musicians and Singers",27-2041,Music Directors and Composers
2453,"Composers, Musicians and Singers",27-2042,Musicians and Singers
2454,Choreographers and Dancers,27-2031,Dancers
2454,Choreographers and Dancers,27-2032,Choreographers
2455,"Film, Stage and Related Actors and Directors",27-1011,Art Directors
2455,"Film, Stage and Related Actors and Directors",27-2011,Actors
2455,"Film, Stage and Related Actors and Directors",27-2012,Producers and Directors
2455,"Film, Stage and Related Actors and Directors",27-4032,Film and Video Editors
2460,Religious Professionals,21-2011,Clergy
2460,Religious Professionals,21-2021,"Directors, Religious Activities and Education"
3111,Chemical and Physical Science Technicians,19-4031,Chemical Technicians
3111,Chemical and Physical Science Technicians,19-4041,Geological and Petroleum Technicians
3111,Chemical and Physical Science Technicians,19-4099,"Life, Physical, and Social Science Technicians, All Other"
3112,Civil Engineering Technicians,17-3022,Civil Engineering Technicians
3112,Civil Engineering Technicians,17-3031,Surveying and Mapping Technicians
3112,Civil Engineering Technicians,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers
3112,Civil Engineering Technicians,33-2021,Fire Inspectors and Investigators
3112,Civil Engineering Technicians,47-4011,Construction and Building Inspectors
3113,Electrical Engineering Technicians,17-3023,Electrical and Electronics Engineering Technicians
3113,Electrical Engineering Technicians,17-3024,Electro-Mechanical Technicians
3114,Electronics and Telecommunications Engineering Technicians,17-3023,Electrical and Electronics Engineering Technicians
3115,Mechanical Engineering Technicians,17-3021,Aerospace Engineering and Operations Technicians
3115,Mechanical Engineering Technicians,17-3024,Electro-Mechanical Technicians
3115,Mechanical Engineering Technicians,17-3027,Mechanical Engineering Technicians
3115,Mechanical Engineering Technicians,17-3029,"Engineering Technicians, Except Drafters, All Other"
3116,Chemical Engineering Technicians,17-3029,"Engineering Technicians, Except Drafters, All Other"
3116,Chemical Engineering Technicians,51-8091,Chemical Plant and System Operators
3117,Mining and Metallurgical Technicians,17-3029,"Engineering Technicians, Except Drafters, All Other"
3117,Mining and Metallurgical Technicians,19-4041,Geological and Petroleum Technicians
3118,Draughtspersons,17-3011,Architectural and Civil Drafters
3118,Draughtspersons,17-3012,Electrical and Electronics Drafters
3118,Draughtspersons,17-3013,Mechanical Drafters
3118,Draughtspersons,17-3019,"Drafters, All Other"
3118,Draughtspersons,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators"
3119,Physical and Engineering Science Technicians Not Elsewhere Classified,17-3025,Environmental Engineering Technicians
3119,Physical and Engineering Science Technicians Not Elsewhere Classified,17-3026,Industrial Engineering Technicians
3119,Physical and Engineering Science Technicians Not Elsewhere Classified,17-3029,"Engineering Technicians, Except Drafters, All Other"
3119,Physical and Engineering Science Technicians Not Elsewhere Classified,19-4051,Nuclear Technicians
3119,Physical and Engineering Science Technicians Not Elsewhere Classified,19-4092,Forensic Science Technicians
3119,Physical and Engineering Science Technicians Not Elsewhere Classified,19-4099,"Life, Physical, and Social Science Technicians, All Other"
3119,Physical and Engineering Science Technicians Not Elsewhere Classified,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers
3119,Physical and Engineering Science Technicians Not Elsewhere Classified,33-2021,Fire Inspectors and Investigators
3119,Physical and Engineering Science Technicians Not Elsewhere Classified,33-2022,Forest Fire Inspectors and Prevention Specialists
3119,Physical and Engineering Science Technicians Not Elsewhere Classified,53-6041,Traffic Technicians
3121,Computer Assistants,15-1134,Web Developers
3121,Computer Assistants,15-1142,Network and Computer Systems Administrators
3121,Computer Assistants,15-1151,Computer User Support Specialists
3121,Computer Assistants,15-1152,Computer Network Support Specialists
3122,Computer Equipment Operators,43-9011,Computer Operators
3123,Industrial Robot Controllers,51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic"
3131,Photographers and Image and Sound Recording Equipment Operators,27-4011,Audio and Video Equipment Technicians
3131,Photographers and Image and Sound Recording Equipment Operators,27-4012,Broadcast Technicians
3131,Photographers and Image and Sound Recording Equipment Operators,27-4013,Radio Operators
3131,Photographers and Image and Sound Recording Equipment Operators,27-4014,Sound Engineering Technicians
3131,Photographers and Image and Sound Recording Equipment Operators,27-4021,Photographers
3131,Photographers and Image and Sound Recording Equipment Operators,27-4031,"Camera Operators, Television, Video, and Motion Picture"
3131,Photographers and Image and Sound Recording Equipment Operators,27-4099,"Media and Communication Equipment Workers, All Other"
3132,Broadcasting and Telecommunications Equipment Operators,17-3023,Electrical and Electronics Engineering Technicians
3132,Broadcasting and Telecommunications Equipment Operators,27-4011,Audio and Video Equipment Technicians
3132,Broadcasting and Telecommunications Equipment Operators,27-4012,Broadcast Technicians
3132,Broadcasting and Telecommunications Equipment Operators,27-4013,Radio Operators
3132,Broadcasting and Telecommunications Equipment Operators,27-4014,Sound Engineering Technicians
3132,Broadcasting and Telecommunications Equipment Operators,27-4031,"Camera Operators, Television, Video, and Motion Picture"
3132,Broadcasting and Telecommunications Equipment Operators,27-4099,"Media and Communication Equipment Workers, All Other"
3133,Medical Equipment Operators,29-1124,Radiation Therapists
3133,Medical Equipment Operators,29-2032,Diagnostic Medical Sonographers
3133,Medical Equipment Operators,29-2033,Nuclear Medicine Technologists
3133,Medical Equipment Operators,29-2034,Radiologic Technologists
3133,Medical Equipment Operators,29-2035,Magnetic Resonance Imaging Technologists
3141,Ships’ Engineers,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
3141,Ships’ Engineers,53-5031,Ship Engineers
3142,Ships’ Deck Officers and Pilots,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
3142,Ships’ Deck Officers and Pilots,53-5021,"Captains, Mates, and Pilots of Water Vessels"
3143,Aircraft Pilots and Related Associate Professionals,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
3143,Aircraft Pilots and Related Associate Professionals,53-2011,"Airline Pilots, Copilots, and Flight Engineers"
3143,Aircraft Pilots and Related Associate Professionals,53-2012,Commercial Pilots
3144,Air Traffic Controllers,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
3144,Air Traffic Controllers,53-2021,Air Traffic Controllers
3145,Air Traffic Safety Technicians,17-3023,Electrical and Electronics Engineering Technicians
3151,Building and Fire Inspectors,17-3022,Civil Engineering Technicians
3151,Building and Fire Inspectors,17-3025,Environmental Engineering Technicians
3151,Building and Fire Inspectors,17-3026,Industrial Engineering Technicians
3151,Building and Fire Inspectors,17-3029,"Engineering Technicians, Except Drafters, All Other"
3151,Building and Fire Inspectors,17-3031,Surveying and Mapping Technicians
3151,Building and Fire Inspectors,19-4051,Nuclear Technicians
3151,Building and Fire Inspectors,19-4092,Forensic Science Technicians
3151,Building and Fire Inspectors,19-4099,"Life, Physical, and Social Science Technicians, All Other"
3151,Building and Fire Inspectors,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers
3151,Building and Fire Inspectors,33-2021,Fire Inspectors and Investigators
3151,Building and Fire Inspectors,33-2022,Forest Fire Inspectors and Prevention Specialists
3151,Building and Fire Inspectors,47-4011,Construction and Building Inspectors
3151,Building and Fire Inspectors,53-6041,Traffic Technicians
3152,"Safety, Health and Quality Inspectors",17-3021,Aerospace Engineering and Operations Technicians
3152,"Safety, Health and Quality Inspectors",17-3023,Electrical and Electronics Engineering Technicians
3152,"Safety, Health and Quality Inspectors",17-3024,Electro-Mechanical Technicians
3152,"Safety, Health and Quality Inspectors",17-3027,Mechanical Engineering Technicians
3152,"Safety, Health and Quality Inspectors",17-3029,"Engineering Technicians, Except Drafters, All Other"
3152,"Safety, Health and Quality Inspectors",19-4041,Geological and Petroleum Technicians
3152,"Safety, Health and Quality Inspectors",21-1091,Health Educators
3152,"Safety, Health and Quality Inspectors",29-9011,Occupational Health and Safety Specialists
3152,"Safety, Health and Quality Inspectors",29-9012,Occupational Health and Safety Technicians
3152,"Safety, Health and Quality Inspectors",45-2011,Agricultural Inspectors
3152,"Safety, Health and Quality Inspectors",51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
3152,"Safety, Health and Quality Inspectors",53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
3152,"Safety, Health and Quality Inspectors",53-6051,Transportation Inspectors
3211,Life Science Technicians,19-4021,Biological Technicians
3211,Life Science Technicians,19-4091,"Environmental Science and Protection Technicians, Including Health"
3211,Life Science Technicians,29-2011,Medical and Clinical Laboratory Technologists
3211,Life Science Technicians,29-2012,Medical and Clinical Laboratory Technicians
3212,Agronomy and Forestry Technicians,19-4011,Agricultural and Food Science Technicians
3212,Agronomy and Forestry Technicians,19-4093,Forest and Conservation Technicians
3213,Farming and Forestry Advisers,19-1013,Soil and Plant Scientists
3213,Farming and Forestry Advisers,19-1032,Foresters
3213,Farming and Forestry Advisers,25-9021,Farm and Home Management Advisors
3221,Medical Assistants,21-1094,Community Health Workers
3221,Medical Assistants,29-1071,Physician Assistants
3221,Medical Assistants,29-2057,Ophthalmic Medical Technicians
3221,Medical Assistants,31-9092,Medical Assistants
3222,Sanitarians,21-1091,Health Educators
3222,Sanitarians,29-9011,Occupational Health and Safety Specialists
3222,Sanitarians,29-9012,Occupational Health and Safety Technicians
3222,Sanitarians,45-2011,Agricultural Inspectors
3222,Sanitarians,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
3222,Sanitarians,53-6051,Transportation Inspectors
3223,Dieticians and Nutritionists,29-1031,Dietitians and Nutritionists
3224,Optometrists and Opticians,29-1041,Optometrists
3224,Optometrists and Opticians,29-2081,"Opticians, Dispensing"
3225,Dental Assistants,29-2021,Dental Hygienists
3225,Dental Assistants,31-9091,Dental Assistants
3226,Physiotherapists and Related Associate Professionals,29-1011,Chiropractors
3226,Physiotherapists and Related Associate Professionals,29-1081,Podiatrists
3226,Physiotherapists and Related Associate Professionals,29-1122,Occupational Therapists
3226,Physiotherapists and Related Associate Professionals,29-1123,Physical Therapists
3226,Physiotherapists and Related Associate Professionals,29-1125,Recreational Therapists
3226,Physiotherapists and Related Associate Professionals,29-1128,Exercise Physiologists
3226,Physiotherapists and Related Associate Professionals,29-1129,"Therapists, All Other"
3226,Physiotherapists and Related Associate Professionals,29-1199,"Health Diagnosing and Treating Practitioners, All Other"
3226,Physiotherapists and Related Associate Professionals,29-2091,Orthotists and Prosthetists
3226,Physiotherapists and Related Associate Professionals,29-2092,Hearing Aid Specialists
3226,Physiotherapists and Related Associate Professionals,29-9092,Genetic Counselors
3226,Physiotherapists and Related Associate Professionals,31-2021,Physical Therapist Assistants
3226,Physiotherapists and Related Associate Professionals,31-9011,Massage Therapists
3226,Physiotherapists and Related Associate Professionals,51-9081,Dental Laboratory Technicians
3226,Physiotherapists and Related Associate Professionals,51-9082,Medical Appliance Technicians
3227,Veterinary Assistants,29-2056,Veterinary Technologists and Technicians
3227,Veterinary Assistants,31-9096,Veterinary Assistants and Laboratory Animal Caretakers
3228,Pharmaceutical Assistants,29-2052,Pharmacy Technicians
3229,Modern Health Associate Professionals (except Nursing) Not Elsewhere Classified,29-1011,Chiropractors
3229,Modern Health Associate Professionals (except Nursing) Not Elsewhere Classified,29-1041,Optometrists
3229,Modern Health Associate Professionals (except Nursing) Not Elsewhere Classified,29-1081,Podiatrists
3229,Modern Health Associate Professionals (except Nursing) Not Elsewhere Classified,29-1122,Occupational Therapists
3229,Modern Health Associate Professionals (except Nursing) Not Elsewhere Classified,29-1125,Recreational Therapists
3229,Modern Health Associate Professionals (Except Nursing) Not Elsewhere Classified,29-1126,Respiratory Therapists
3229,Modern Health Associate Professionals (except Nursing) Not Elsewhere Classified,29-1127,Speech-Language Pathologists
3229,Modern Health Associate Professionals (except Nursing) Not Elsewhere Classified,29-1129,"Therapists, All Other"
3229,Modern Health Associate Professionals (except Nursing) Not Elsewhere Classified,29-1181,Audiologists
3229,Modern Health Associate Professionals (except Nursing) Not Elsewhere Classified,29-1199,"Health Diagnosing and Treating Practitioners, All Other"
3229,Modern Health Associate Professionals (Except Nursing) Not Elsewhere Classified,29-2031,Cardiovascular Technologists and Technicians
3229,Modern Health Associate Professionals (Except Nursing) Not Elsewhere Classified,29-2051,Dietetic Technicians
3229,Modern Health Associate Professionals (Except Nursing) Not Elsewhere Classified,29-2053,Psychiatric Technicians
3229,Modern Health Associate Professionals (Except Nursing) Not Elsewhere Classified,29-2054,Respiratory Therapy Technicians
3229,Modern Health Associate Professionals (Except Nursing) Not Elsewhere Classified,29-2055,Surgical Technologists
3229,Modern Health Associate Professionals (Except Nursing) Not Elsewhere Classified,29-2099,"Health Technologists and Technicians, All Other"
3229,Modern Health Associate Professionals (except Nursing) Not Elsewhere Classified,29-9092,Genetic Counselors
3229,Modern Health Associate Professionals (Except Nursing) Not Elsewhere Classified,29-9099,"Healthcare Practitioners and Technical Workers, All Other"
3229,Modern Health Associate Professionals (Except Nursing) Not Elsewhere Classified,31-2011,Occupational Therapy Assistants
3229,Modern Health Associate Professionals (Except Nursing) Not Elsewhere Classified,31-9099,"Healthcare Support Workers, All Other"
3231,Nursing Associate professionals,29-2061,Licensed Practical and Licensed Vocational Nurses
3232,Midwifery Associate Professionals,29-9099,"Healthcare Practitioners and Technical Workers, All Other"
3241,Traditional Medicine Practitioners,29-1199,"Health Diagnosing and Treating Practitioners, All Other"
3241,Traditional Medicine Practitioners,29-9099,"Healthcare Practitioners and Technical Workers, All Other"
3242,Faith Healers,21-2099,"Religious Workers, All Other"
3310,Primary Education Teaching Associate Professionals,25-2021,"Elementary School Teachers, Except Special Education"
3310,Primary Education Teaching Associate Professionals,25-2022,"Middle School Teachers, Except Special and Career/Technical Education"
3320,Pre-primary Education Teaching Associate Professionals,25-2011,"Preschool Teachers, Except Special Education"
3320,Pre-primary Education Teaching Associate Professionals,25-2012,"Kindergarten Teachers, Except Special Education"
3330,Special Education Teaching Associate Professionals,25-2051,"Special Education Teachers, Preschool"
3330,Special Education Teaching Associate Professionals,25-2052,"Special Education Teachers, Kindergarten and Elementary School"
3330,Special Education Teaching Associate Professionals,25-2053,"Special Education Teachers, Middle School"
3330,Special Education Teaching Associate Professionals,25-2054,"Special Education Teachers, Secondary School"
3330,Special Education Teaching Associate Professionals,25-2059,"Special Education Teachers, All Other"
3340,Other Teaching Associate Professionals,13-1151,Training and Development Specialists
3340,Other Teaching Associate Professionals,21-1012,"Educational, Guidance, School, and Vocational Counselors"
3340,Other Teaching Associate Professionals,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors
3340,Other Teaching Associate Professionals,25-3021,Self-Enrichment Education Teachers
3340,Other Teaching Associate Professionals,25-3099,"Teachers and Instructors, All Other"
3340,Other Teaching Associate Professionals,25-9099,"Education, Training, and Library Workers, All Other"
3340,Other Teaching Associate Professionals,29-9091,Athletic Trainers
3340,Other Teaching Associate Professionals,39-1021,First-Line Supervisors of Personal Service Workers
3340,Other Teaching Associate Professionals,39-9031,Fitness Trainers and Aerobics Instructors
3340,Other Teaching Associate Professionals,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
3340,Other Teaching Associate Professionals,53-2011,"Airline Pilots, Copilots, and Flight Engineers"
3340,Other Teaching Associate Professionals,53-2012,Commercial Pilots
3411,Securities and Finance Dealers and Brokers,13-2051,Financial Analysts
3411,Securities and Finance Dealers and Brokers,13-2052,Personal Financial Advisors
3411,Securities and Finance Dealers and Brokers,41-1012,First-Line Supervisors of Non-Retail Sales Workers
3411,Securities and Finance Dealers and Brokers,41-3031,"Securities, Commodities, and Financial Services Sales Agents"
3412,Insurance Representatives,13-2053,Insurance Underwriters
3412,Insurance Representatives,41-1012,First-Line Supervisors of Non-Retail Sales Workers
3412,Insurance Representatives,41-3021,Insurance Sales Agents
3413,Estate Agents,11-9141,"Property, Real Estate, and Community Association Managers"
3413,Estate Agents,41-1012,First-Line Supervisors of Non-Retail Sales Workers
3413,Estate Agents,41-9021,Real Estate Brokers
3413,Estate Agents,41-9022,Real Estate Sales Agents
3414,Travel Consultants and Organisers,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes"
3414,Travel Consultants and Organisers,13-1051,Cost Estimators
3414,Travel Consultants and Organisers,13-1199,"Business Operations Specialists, All Other"
3414,Travel Consultants and Organisers,13-2099,"Financial Specialists, All Other"
3414,Travel Consultants and Organisers,41-1012,First-Line Supervisors of Non-Retail Sales Workers
3414,Travel Consultants and Organisers,41-3011,Advertising Sales Agents
3414,Travel Consultants and Organisers,41-3041,Travel Agents
3414,Travel Consultants and Organisers,41-9099,"Sales and Related Workers, All Other"
3414,Travel Consultants and Organisers,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks
3415,Technical and Commercial Sales Representatives,41-1012,First-Line Supervisors of Non-Retail Sales Workers
3415,Technical and Commercial Sales Representatives,41-3099,"Sales Representatives, Services, All Other"
3415,Technical and Commercial Sales Representatives,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
3415,Technical and Commercial Sales Representatives,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
3415,Technical and Commercial Sales Representatives,41-9031,Sales Engineers
3416,Buyers,13-1021,"Buyers and Purchasing Agents, Farm Products"
3416,Buyers,13-1022,"Wholesale and Retail Buyers, Except Farm Products"
3416,Buyers,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
3417,"Appraisers, Valuers and Auctioneers",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes"
3417,"Appraisers, Valuers and Auctioneers",13-1031,"Claims Adjusters, Examiners, and Investigators"
3417,"Appraisers, Valuers and Auctioneers",13-1032,"Insurance Appraisers, Auto Damage"
3417,"Appraisers, Valuers and Auctioneers",13-1051,Cost Estimators
3417,"Appraisers, Valuers and Auctioneers",13-1199,"Business Operations Specialists, All Other"
3417,"Appraisers, Valuers and Auctioneers",13-2021,Appraisers and Assessors of Real Estate
3417,"Appraisers, Valuers and Auctioneers",13-2099,"Financial Specialists, All Other"
3417,"Appraisers, Valuers and Auctioneers",41-1012,First-Line Supervisors of Non-Retail Sales Workers
3417,"Appraisers, Valuers and Auctioneers",41-3011,Advertising Sales Agents
3417,"Appraisers, Valuers and Auctioneers",41-3041,Travel Agents
3417,"Appraisers, Valuers and Auctioneers",41-9099,"Sales and Related Workers, All Other"
3419,Finance and Sales Associate Professionals Not Elsewhere Classified,13-2071,Credit Counselors
3419,Finance and Sales Associate Professionals Not Elsewhere Classified,13-2072,Loan Officers
3421,Trade Brokers,41-1012,First-Line Supervisors of Non-Retail Sales Workers
3421,Trade Brokers,41-3031,"Securities, Commodities, and Financial Services Sales Agents"
3421,Trade Brokers,43-5011,Cargo and Freight Agents
3422,Clearing and Forwarding Agents,43-5011,Cargo and Freight Agents
3422,Clearing and Forwarding Agents,43-5071,"Shipping, Receiving, and Traffic Clerks"
3423,Employment Agents and Labour Contractors,13-1071,Human Resources Specialists
3423,Employment Agents and Labour Contractors,13-1074,Farm Labor Contractors
3429,Business Services Agents and Trade Brokers Not Elsewhere Classified,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes"
3429,Business Services Agents and Trade Brokers Not Elsewhere Classified,13-1051,Cost Estimators
3429,Business Services Agents and Trade Brokers Not Elsewhere Classified,13-1199,"Business Operations Specialists, All Other"
3429,Business Services Agents and Trade Brokers Not Elsewhere Classified,13-2099,"Financial Specialists, All Other"
3429,Business Services Agents and Trade Brokers Not Elsewhere Classified,41-1012,First-Line Supervisors of Non-Retail Sales Workers
3429,Business Services Agents and Trade Brokers Not Elsewhere Classified,41-3011,Advertising Sales Agents
3429,Business Services Agents and Trade Brokers Not Elsewhere Classified,41-3041,Travel Agents
3429,Business Services Agents and Trade Brokers Not Elsewhere Classified,41-9099,"Sales and Related Workers, All Other"
3431,Administrative Secretaries and Related Associate Professionals,23-2091,Court Reporters
3431,Administrative Secretaries and Related Associate Professionals,31-9094,Medical Transcriptionists
3431,Administrative Secretaries and Related Associate Professionals,43-1011,First-Line Supervisors of Office and Administrative Support Workers
3431,Administrative Secretaries and Related Associate Professionals,43-6011,Executive Secretaries and Executive Administrative Assistants
3431,Administrative Secretaries and Related Associate Professionals,43-6012,Legal Secretaries
3431,Administrative Secretaries and Related Associate Professionals,43-6013,Medical Secretaries
3432,Legal and Related Business Associate Professionals,23-1012,Judicial Law Clerks
3432,Legal and Related Business Associate Professionals,23-2011,Paralegals and Legal Assistants
3432,Legal and Related Business Associate Professionals,23-2093,"Title Examiners, Abstractors, and Searchers"
3432,Legal and Related Business Associate Professionals,23-2099,"Legal Support Workers, All Other"
3432,Legal and Related Business Associate Professionals,33-3011,Bailiffs
3432,Legal and Related Business Associate Professionals,33-9021,Private Detectives and Investigators
3432,Legal and Related Business Associate Professionals,33-9031,Gaming Surveillance Officers and Gaming Investigators
3433,Bookkeepers,43-3031,"Bookkeeping, Accounting, and Auditing Clerks"
3434,"Statistical, Mathematical and Related Associate Professionals",15-2091,Mathematical Technicians
3434,"Statistical, Mathematical and Related Associate Professionals",15-2099,"Mathematical Science Occupations, All Other"
3434,"Statistical, Mathematical and Related Associate Professionals",19-4061,Social Science Research Assistants
3434,"Statistical, Mathematical and Related Associate Professionals",43-3031,"Bookkeeping, Accounting, and Auditing Clerks"
3434,"Statistical, Mathematical and Related Associate Professionals",43-9111,Statistical Assistants
3439,Administrative Associate Professionals Not Elsewhere Classified,13-1121,"Meeting, Convention, and Event Planners"
3439,Administrative Associate Professionals Not Elsewhere Classified,23-2091,Court Reporters
3439,Administrative Associate Professionals Not Elsewhere Classified,25-4013,Museum Technicians and Conservators
3439,Administrative Associate Professionals Not Elsewhere Classified,25-4031,Library Technicians
3439,Administrative Associate Professionals Not Elsewhere Classified,27-1012,Craft Artists
3439,Administrative Associate Professionals Not Elsewhere Classified,43-1011,First-Line Supervisors of Office and Administrative Support Workers
3439,Administrative Associate Professionals Not Elsewhere Classified,43-6011,Executive Secretaries and Executive Administrative Assistants
3439,Administrative Associate Professionals Not Elsewhere Classified,45-2011,Agricultural Inspectors
3441,Customs and Border Inspectors,13-1041,Compliance Officers
3441,Customs and Border Inspectors,33-1012,First-Line Supervisors of Police and Detectives
3441,Customs and Border Inspectors,33-3051,Police and Sheriff's Patrol Officers
3442,Government Tax and Excise Officials,13-2081,"Tax Examiners and Collectors, and Revenue Agents"
3443,Government Social Benefits Officials,13-1041,Compliance Officers
3443,Government Social Benefits Officials,43-4061,"Eligibility Interviewers, Government Programs"
3444,Government Licensing Officials,13-1041,Compliance Officers
3444,Government Licensing Officials,43-4031,"Court, Municipal, and License Clerks"
3449,"Customs, Tax and Related Government Associate Professionals Not Elsewhere Classified",45-2011,Agricultural Inspectors
3450,Police Inspectors and Detectives,23-1012,Judicial Law Clerks
3450,Police Inspectors and Detectives,23-2011,Paralegals and Legal Assistants
3450,Police Inspectors and Detectives,23-2093,"Title Examiners, Abstractors, and Searchers"
3450,Police Inspectors and Detectives,23-2099,"Legal Support Workers, All Other"
3450,Police Inspectors and Detectives,33-1012,First-Line Supervisors of Police and Detectives
3450,Police Inspectors and Detectives,33-3011,Bailiffs
3450,Police Inspectors and Detectives,33-3021,Detectives and Criminal Investigators
3450,Police Inspectors and Detectives,33-9021,Private Detectives and Investigators
3450,Police Inspectors and Detectives,33-9031,Gaming Surveillance Officers and Gaming Investigators
3460,Social Work Associate Professionals,21-1093,Social and Human Service Assistants
3471,Decorators and Commercial Designers,25-4013,Museum Technicians and Conservators
3471,Decorators and Commercial Designers,25-4031,Library Technicians
3471,Decorators and Commercial Designers,27-1012,Craft Artists
3471,Decorators and Commercial Designers,27-1014,Multimedia Artists and Animators
3471,Decorators and Commercial Designers,27-1019,"Artists and Related Workers, All Other"
3471,Decorators and Commercial Designers,27-1021,Commercial and Industrial Designers
3471,Decorators and Commercial Designers,27-1022,Fashion Designers
3471,Decorators and Commercial Designers,27-1024,Graphic Designers
3471,Decorators and Commercial Designers,27-1025,Interior Designers
3471,Decorators and Commercial Designers,27-1026,Merchandise Displayers and Window Trimmers
3471,Decorators and Commercial Designers,27-1027,Set and Exhibit Designers
3471,Decorators and Commercial Designers,27-1029,"Designers, All Other"
3471,Decorators and Commercial Designers,27-2099,"Entertainers and Performers, Sports and Related Workers, All Other"
3471,Decorators and Commercial Designers,27-3099,"Media and Communication Workers, All Other"
3471,Decorators and Commercial Designers,27-4099,"Media and Communication Equipment Workers, All Other"
3471,Decorators and Commercial Designers,39-3092,Costume Attendants
3471,Decorators and Commercial Designers,39-3099,"Entertainment Attendants and Related Workers, All Other"
3472,"Radio, Television and Other Announcers",27-3011,Radio and Television Announcers
3472,"Radio, Television and Other Announcers",27-3012,Public Address System and Other Announcers
3472,"Radio, Television and Other Announcers",27-3021,Broadcast News Analysts
3472,"Radio, Television and Other Announcers",27-3022,Reporters and Correspondents
3472,"Radio, Television and Other Announcers",27-3041,Editors
3473,"Street, Night-club and Related Musicians, Singers and Dancers",27-2031,Dancers
3473,"Street, Night-club and Related Musicians, Singers and Dancers",27-2032,Choreographers
3473,"Street, Night-club and Related Musicians, Singers and Dancers",27-2041,Music Directors and Composers
3473,"Street, Night-club and Related Musicians, Singers and Dancers",27-2042,Musicians and Singers
3474,"Clowns, Magicians, Acrobats and Related Associate Professionals",27-1019,"Artists and Related Workers, All Other"
3474,"Clowns, Magicians, Acrobats and Related Associate Professionals",27-2099,"Entertainers and Performers, Sports and Related Workers, All Other"
3474,"Clowns, Magicians, Acrobats and Related Associate Professionals",27-3099,"Media and Communication Workers, All Other"
3474,"Clowns, Magicians, Acrobats and Related Associate Professionals",27-4099,"Media and Communication Equipment Workers, All Other"
3474,"Clowns, Magicians, Acrobats and Related Associate Professionals",39-3092,Costume Attendants
3474,"Clowns, Magicians, Acrobats and Related Associate Professionals",39-3099,"Entertainment Attendants and Related Workers, All Other"
3475,"Athletes, Sportspersons and Related Associate Professionals",25-3021,Self-Enrichment Education Teachers
3475,"Athletes, Sportspersons and Related Associate Professionals",27-2021,Athletes and Sports Competitors
3475,"Athletes, Sportspersons and Related Associate Professionals",27-2022,Coaches and Scouts
3475,"Athletes, Sportspersons and Related Associate Professionals",27-2023,"Umpires, Referees, and Other Sports Officials"
3475,"Athletes, Sportspersons and Related Associate Professionals",29-9091,Athletic Trainers
3475,"Athletes, Sportspersons and Related Associate Professionals",39-1021,First-Line Supervisors of Personal Service Workers
3475,"Athletes, Sportspersons and Related Associate Professionals",39-9031,Fitness Trainers and Aerobics Instructors
3480,Religious Associate Professionals,21-2099,"Religious Workers, All Other"
