code,title
53-7020,Crane and Tower Operators and Vehicle Operators
53-7021,Crane and Tower Operators
53-7031,Dredge Operators
53-7032,Excavating and Loading Machine
53-7040,Hoist and Winch Operators
53-7041,Hoist and Winch Operators
53-7050,Industrial Truck and Tractor Operators Except Emergency Medical Technicians
53-7051,Industrial Truck and Tractor Operators
53-7061,Cleaners of Vehicles and Equipment
53-7063,Machine Feeders and Offbearers
53-7070,Pumping Station Operators
53-7071,Gas Compressor and Gas Pumping
53-7073,Wellhead Pumpers
53-7080,Refuse and Recyclable Material Collectors
53-7081,Refuse and Recyclable Material Collectors
53-7110,Shuttle Car Operators
53-7111,Shuttle Car Operators
53-7190,Miscellaneous Material Moving Workers of Air Crew Members
55-0000,Military Specific Occupations
55-1010,Military Officer Special and Tactical Operations
55-1011,Air Crew Officers
55-1013,Armored Assault Vehicle Officers
55-1014,Artillery and Missile Officers
55-1015,Command and Control Center Officers
55-1016,Infantry Officers
55-1017,Special Forces Officers
55-1019,Military Officer Special and Tactical
55-3010,Military Enlisted Tactical Operations
55-3011,Air Crew Members
55-3012,Aircraft Launch and Recovery Specialists
55-3013,Armored Assault Vehicle Crew Members
55-3014,Artillery and Missile Crew Members
55-3015,Command and Control Center Specialists
55-3017,Radar and Sonar Technicians
55-3018,Special Forces Managers
55-3019,Military Enlisted Tactical Operations
